Label,Colony,Inferred,Pop,Prop
1,CT10,1,1,0.002
2,CT13,1,1,0.002
3,CT16,1,1,0.002
4,CT17,1,1,0.002
5,CT19,1,1,0.002
6,CT22,1,1,0.002
7,CT23,1,1,0.002
8,CT25,1,1,0.002
9,CT34,1,1,0.002
10,CT35,1,1,0.002
11,CT36,1,1,0.002
12,CT38,1,1,0.002
13,CT51,2,1,0.002
14,CT65,1,1,0.002
15,CT85,1,1,0.002
16,CT86,1,1,0.002
17,CT87,1,1,0.002
18,CT97,1,1,0.002
19,CT79,1,1,0.003
20,CT80,1,1,0.003
21,CT88,1,1,0.003
22,CT92,1,1,0.003
23,CT98,1,1,0.003
24,CT12,1,1,0.004
25,CT37,1,1,0.004
26,CT62,1,1,0.004
27,CT81,1,1,0.004
28,CT84,1,1,0.004
29,CT91,1,1,0.004
30,CT94,1,1,0.004
31,CT18,1,1,0.005
32,CT89,1,1,0.005
33,CT90,1,1,0.005
34,CT14,1,1,0.006
35,CT20,1,1,0.006
36,CT33,1,1,0.007
37,CT11,1,1,0.011
38,CT15,1,1,0.011
39,CT21,1,1,0.013
40,CT77,1,1,0.042
41,CT7,2,1,0.966
42,CT53,2,1,0.983
43,CT40,2,1,0.987
44,CT76,2,1,0.987
45,CT78,2,1,0.99
46,CT64,2,1,0.992
47,CT31,2,1,0.993
48,CT58,2,1,0.994
49,CT60,2,1,0.994
50,CT24,2,1,0.995
51,CT29,2,1,0.995
52,CT55,2,1,0.995
53,CT75,2,1,0.995
54,CT83,2,1,0.995
55,CT93,2,1,0.995
56,CT9,2,1,0.996
57,CT26,2,1,0.996
58,CT30,2,1,0.996
59,CT39,2,1,0.996
60,CT46,2,1,0.996
61,CT49,2,1,0.996
62,CT56,2,1,0.996
63,CT59,2,1,0.996
64,CT61,2,1,0.996
65,CT63,2,1,0.996
66,CT66,2,1,0.996
67,CT69,2,1,0.996
68,CT74,2,1,0.996
69,CT100,2,1,0.996
70,CT27,2,1,0.997
71,CT41,2,1,0.997
72,CT47,2,1,0.997
73,CT48,2,1,0.997
74,CT54,2,1,0.997
75,CT57,2,1,0.997
76,CT70,2,1,0.997
77,CT72,2,1,0.997
78,CT73,2,1,0.997
79,CT82,2,1,0.997
80,CT95,2,1,0.997
81,CT8,2,1,0.998
82,CT28,2,1,0.998
83,CT32,2,1,0.998
84,CT42,2,1,0.998
85,CT44,2,1,0.998
86,CT45,2,1,0.998
87,CT50,2,1,0.998
88,CT52,2,1,0.998
89,CT67,2,1,0.998
90,CT68,2,1,0.998
91,CT71,2,1,0.998
92,CT96,2,1,0.998
93,CT99,2,1,0.998
1,CT10,1,2,0.998
2,CT13,1,2,0.998
3,CT16,1,2,0.998
4,CT17,1,2,0.998
5,CT19,1,2,0.998
6,CT22,1,2,0.998
7,CT23,1,2,0.998
8,CT25,1,2,0.998
9,CT34,1,2,0.998
10,CT35,1,2,0.998
11,CT36,1,2,0.998
12,CT38,1,2,0.998
13,CT51,2,2,0.998
14,CT65,1,2,0.998
15,CT85,1,2,0.998
16,CT86,1,2,0.998
17,CT87,1,2,0.998
18,CT97,1,2,0.998
19,CT79,1,2,0.997
20,CT80,1,2,0.997
21,CT88,1,2,0.997
22,CT92,1,2,0.997
23,CT98,1,2,0.997
24,CT12,1,2,0.996
25,CT37,1,2,0.996
26,CT62,1,2,0.996
27,CT81,1,2,0.996
28,CT84,1,2,0.996
29,CT91,1,2,0.996
30,CT94,1,2,0.996
31,CT18,1,2,0.995
32,CT89,1,2,0.995
33,CT90,1,2,0.995
34,CT14,1,2,0.994
35,CT20,1,2,0.994
36,CT33,1,2,0.993
37,CT11,1,2,0.989
38,CT15,1,2,0.989
39,CT21,1,2,0.987
40,CT77,1,2,0.958
41,CT7,2,2,0.034
42,CT53,2,2,0.017
43,CT40,2,2,0.013
44,CT76,2,2,0.013
45,CT78,2,2,0.01
46,CT64,2,2,0.008
47,CT31,2,2,0.007
48,CT58,2,2,0.006
49,CT60,2,2,0.006
50,CT24,2,2,0.005
51,CT29,2,2,0.005
52,CT55,2,2,0.005
53,CT75,2,2,0.005
54,CT83,2,2,0.005
55,CT93,2,2,0.005
56,CT9,2,2,0.004
57,CT26,2,2,0.004
58,CT30,2,2,0.004
59,CT39,2,2,0.004
60,CT46,2,2,0.004
61,CT49,2,2,0.004
62,CT56,2,2,0.004
63,CT59,2,2,0.004
64,CT61,2,2,0.004
65,CT63,2,2,0.004
66,CT66,2,2,0.004
67,CT69,2,2,0.004
68,CT74,2,2,0.004
69,CT100,2,2,0.004
70,CT27,2,2,0.003
71,CT41,2,2,0.003
72,CT47,2,2,0.003
73,CT48,2,2,0.003
74,CT54,2,2,0.003
75,CT57,2,2,0.003
76,CT70,2,2,0.003
77,CT72,2,2,0.003
78,CT73,2,2,0.003
79,CT82,2,2,0.003
80,CT95,2,2,0.003
81,CT8,2,2,0.002
82,CT28,2,2,0.002
83,CT32,2,2,0.002
84,CT42,2,2,0.002
85,CT44,2,2,0.002
86,CT45,2,2,0.002
87,CT50,2,2,0.002
88,CT52,2,2,0.002
89,CT67,2,2,0.002
90,CT68,2,2,0.002
91,CT71,2,2,0.002
92,CT96,2,2,0.002
93,CT99,2,2,0.002
