Col.	Type	Y	X	Elev.	Bush Dist.	Nest Dmtr.	H20 %	%N	%C	%Sand	%Silt	Weight	Leaf Litter	veg Biomass (g)	Prop veg	Prop rocks	Depth (cm)	AVG Bdy Wt
1	0	0.875	0.713	1384	3.70	1.00	2.523294037	0.18	2.57	78.66666667	40	55.965	1.59988	1.808	0.78518672	0.065084295	29	5.054
13	0	0.869	0.655	1376	2.70	0.65	3.199038836	0.17	2.16	66.66666667	49.33333333	100.886	1.72093	87.206	0.797843876	0.043818781	30	4.434
14	0	0.856	0.665	1373	0.85	0.70	3.353302867	0.11	1.62	88	22	62.423	0.02734	16.150	0.302449606	0.091414407	30	4.694
15	0	0.861	0.664	1372	2.20	0.55	3.51724307	0.17	2.47	79.33333333	48	60.485	2.3168	41.340	0.615283361	0.042288628	30	3.836
16	0	0.873	0.64	1372	1.60	0.70	2.894357803	0.15	1.91	85.33333333	29.33333333	86.105	0.67313	13.930	0.254379805	0.070186656	30	3.828
17	0	0.88	0.65	1376	0.60	1.00	3.790615127	0.17	2.01	81.33333333	36	65.029	0.93034	28.467	0.344286262	0.102272723	30	4.248
18	0	0.882	0.657	1376	3.30	0.90	3.004795684	0.11	1.32	82.66666667	33.33333333	91.258	0.32251	56.599	0.694533198	0.034645379	30	4.686
20	0	0.875	0.679	1380	2.90	0.70	2.479519248	0.16	2.47	69.33333333	46.66666667	101.948	0.70666	36.293	0.000325272	0.233176695	30	4.558
31	0	0.889	0.603	1370	1.00	0.95	3.489314986	0.26	2.96	85.33333333	36	97.302	2.42748	39.561	0.327956582	0.05788913	30	4.57
32	0	0.895	0.645	1377	1.40	1.00	3.109444461	0.13	1.51	67.33333333	49.33333333	104.42	0.99237	53.221	0.297982678	0.08256821	30	4.65
33	0	0.893	0.606	1373	1.80	0.80	2.548396854	0.14	1.59	75.33333333	40.66666667	72.294	2.17627	20.374	0.563052477	0.009799368	30	5.15
36	0	0.898	0.591	1372	1.60	1.00	2.688465351	0.13	2.34	88	34.66666667	105.895	1.15391	67.302	0.464984538	0.030973512	30	5.65
