Colony	Y	X	type	Elevation	bush dist.	nest dmtr.	% water	% N	% C	%Sand	%Silt	Wt	Leaf Litter	Veg Biomass	%Veg	% rocks	Depth	Avg Bdy Wt
5	52.025	0.28	0	1468	1.10	1.70	2.898723213	0.14	2.38	66.66666667	46	83.189	0.1168	16.335	0.204700233	0.032001044	30	6.074
10	52.054	0.251	0	1467	2.90	2.10	8.550718769	0.17	2.92	70.66666667	36.66666667	12.734	0.0619	10.91	0.11043653	0.046457535	30	6.572
11	52.069	0.252	0	1469	1.90	1.10	4.543057132	0.15	3.73	68.66666667	49.33333333	16.935	0.0871	10.133	0.080041824	0.064427594	17	7.178
12	52.078	0.259	0	1466	3.90	2.00	6.59832986	0.16	3.35	65.33333333	54	4.591	0.65124	176.434	0.755162634	0.000758783	30	7.782
13	52.072	0.233	0	1466	2.30	1.00	3.557824733	0.12	1.48	57.33333333	56	76.295	0.21826	15.416	0.231883377	0.070158208	30	6.246
14	52.06	0.21	0	1466	1.00	1.35	4.793785132	0.27	1.80	62.66666667	59.33333333	48.714	1.62003	53.646	0.141537959	0.077645565	30	7.516
15	52.05	0.216	0	1466	3.20	1.45	3.329651873	0.16	1.75	72.66666667	56.66666667	71.891	1.01415	36.571	0.292446946	0.043409429	27	6.452
16	52.044	0.207	0	1465	0.50	1.40	3.696648761	0.15	1.71	72	56.66666667	66.529	0.63367	18.675	0.213155043	0.071565474	30	5.748
18	52.04	0.19	0	1466	1.30	1.10	3.833296866	0.15	1.65	65.33333333	57.33333333	66.795	0.35711	25.347	0.149389731	0.090797218	30	7.018
19	52.026	0.205	0	1466	2.10	1.20	7.274358145	0.25	3.37	82.66666667	42.66666667	5.402	0.06837	158.486	0.702708691	0.000336981	30	7.442
20	52.015	0.193	0	1467	2.20	1.40	7.910167054	0.28	3.39	51.33333333	62.66666667	5.922	1.34364	158.486	0.744095754	0	30	6.372
22	52.003	0.198	0	1467	3.00	1.10	7.845718849	0.14	2.68	67.33333333	53.33333333	8.17	0.90516	23.212	0.155909175	0.0130026	30	6.222
23	51.997	0.224	0	1466	1.60	2.40	3.730230577	0.15	3.15	70.66666667	46	44.243	0.14752	9.954	0.194107633	0.02766292	26	7.982
33	52.106	0.244	0	1466	1.25	1.10	8.526259909	0.17	1.82	75.33333333	39.33333333	12.18	1.33776	94.91	0.746127214	0.009629157	30	5.164
34	52.108	0.268	0	1468	1.60	1.05	7.303145662	0.19	2.78	80.66666667	48	9.302	1.12256	111.404	0.550676767	0.001097977	30	6.412
35	52.119	0.266	0	1468	1.60	1.35	6.196327799	0.15	2.34	82.66666667	36.66666667	37.849	0.56645	5.463	0.124696258	0.049801626	30	5.728
37	52.131	0.262	0	1469	1.60	1.00	5.796021959	0.12	1.65	84	42.66666667	33.773	0.86978	17.148	0.097536359	0.03260108	30	5.8
38	52.134	0.28	0	1467	2.10	1.00	3.552518916	0.17	3.61	79.33333333	49.33333333	46.965	0.27289	22.086	0.179554096	0.016096833	30	7.82
77	52.102	0.224	0	1465	1.05	0.90	5.775450934	0.20	2.40	82.66666667	34	33.822	0.84695	53.639	0.250025465	0.146730079	30	6.066
80	52.027	0.255	0	1468	1.40	1.20	4.202558905	0.16	3.30	72	48	21.93	0.35082	7.844	0.137239718	0.128280688	28	5.31
81	52.08	0.23	0	1468	1.50	0.80	4.844595601	0.13	1.45	66.66666667	48.66666667	54.374	0.36506	42.224	0.228070021	0.099606403	30	5.724
84	52.021	0.241	0	1467	1.30	1.70	6.080024821	0.31	4.63	87.33333333	34.66666667	12.247	0.64909	57.195	0.37210681	0.003543796	30	7.72
87	51.997	0.244	0	1467	3.40	1.30	6.534547402	0.24	3.53	66.66666667	58	19.039	0.55419	17.519	0.160619134	0.122399093	30	6.646
88	51.99	0.193	0	1466	2.10	0.90	5.765803325	0.13	2.51	68.66666667	56	20.202	0.55866	15.847	0.087224301	0.027548472	30	6.6
89	52	0.181	0	1464	2.00	0.90	3.832089773	0.14	2.42	76	41.33333333	64.576	0.29926	11.346	0.118268533	0.067073213	30	5.098
90	52.028	0.189	0	1464	1.60	1.00	4.898425445	0.18	2.01	83.33333333	37.33333333	11.112	0.5827	10.918	0.187538658	0.093824098	30	6.346
91	52.031	0.18	0	1469	0.80	1.30	6.889381441	0.13	1.42	82	40	7.869	1.12854	35.229	0.290807647	0.041185885	30	6.198
92	52.024	0.176	0	1468	1.00	1.20	6.709861375	0.28	3.62	62.66666667	52.66666667	11.812	3.00523	60.665	0.165483267	0.042731378	30	6.45
97	52.053	0.17	0	1465	1.10	1.40	4.395889174	0.26	3.02	84	37.33333333	61.824	0.25012	39.555	0.294050773	0.198639956	30	5.596
98	52.063	0.181	0	1464	1.10	1.25	3.174817389	0.16	2.33	72	42	67.512	0.90135	14.651	0.232358897	0.098712903	30	6.05
2	52.011	0.299	1	1474	1.95	1.25	6.097634094	0.14	2.86	50	54	21.86	0.10207	15.789	0.190106274	0.030706231	30	4.85
3	52.015	0.314	1	1474	1.70	1.70	3.912820559	0.14	3.67	74	46.66666667	49.41	0.24173	31.758	0.451448365	0.003585559	21	6.916
9	52.038	0.262	1	1467	1.60	1.20	5.342388886	0.13	3.13	71.33333333	46	38.432	0.22926	16.228	0.217494808	0.167419418	30	6.02
27	52.106	0.304	1	1472	1.80	1.50	4.644286143	0.18	3.57	72	51.33333333	46.177	1.63947	29.845	0.111264338	0.077981724	15	5.538
28	52.103	0.289	1	1469	0.85	1.10	5.613917063	0.22	3.11	85.33333333	32.66666667	20.393	1.43582	23.464	0.16382659	0.014207915	30	4.444
31	52.083	0.268	1	1476	1.20	1.05	5.826070898	0.18	3.71	68.66666667	51.33333333	18.965	0.28881	19.817	0.182690816	0.042123588	30	5.918
39	52.12	0.279	1	1468	1.60	1.55	4.523826578	0.15	2.77	55.33333333	54.66666667	41.593	0.19661	14.345	0.13055785	0.025324222	24	5.632
40	52.117	0.298	1	1469	1.80	1.15	6.83869904	0.18	3.73	66	45.33333333	11.52	0.48092	30.561	0.282908307	0.013938058	30	5.238
41	52.109	0.291	1	1469	1.10	0.70	5.022477275	0.17	2.86	56	52.66666667	10.998	0.73234	8.131	0.096067163	0.115577595	30	4.802
42	52.131	0.326	1	1471	0.70	1.60	3.47140585	0.18	2.08	66.66666667	66	38.71	0.53226	6.064	0.262226416	0.044770946	23	5.834
47	52.099	0.428	1	1479	1.40	1.20	2.840624374	0.19	2.66	50.66666667	65.33333333	105.073	0.84127	10.024	0.120398987	0.144957271	30	4.8
52	52.031	0.353	1	1473	1.20	0.60	3.432996841	0.21	4.27	82	44	50.912	1.09235	14.131	0.325059251	0.039767941	30	4.858
56	52.141	0.418	1	1478	1.40	1.00	3.133338636	0.140794039	1.681747675	59.33333333	62	90.106	0.23343	15.44	0.166545639	0.17975604	30	5.418
57	52.128	0.415	1	1478	1.00	1.00	3.810692279	0.19	2.16	63.33333333	57.33333333	37.367	0.13324	5.385	0.116222609	0.153314574	18	4.88
58	52.154	0.409	1	1479	1.40	1.25	3.14733392	0.17	1.86	48	68	68.044	0.83436	45.861	0.183024588	0.292923409	17	5.546
59	52.143	0.398	1	1476	1.00	1.20	4.050233414	0.28	3.36	44.66666667	70	4.659	3.1759	3.09	0.020884679	0.491986727	16	4.584
61	52.153	0.344	1	1473	1.50	1.25	6.626702082	0.17	1.78	48	68	25.162	1.40171	22.29	0.118356956	0.119600755	30	5.52
63	52.137	0.297	1	1468	1.50	1.70	6.179495852	0.27	4.32	66	58	23.89	0.73189	16.413	0.184429755	0.052509815	30	5.764
64	52.16	0.29	1	1470	2.30	1.30	4.354018843	0.17	2.07	63.33333333	58	17.451	0.41895	14.133	0.146821658	0.041741115	25	5.976
66	52.156	0.279	1	1469	1.20	1.05	4.50090276	0.21	2.48	48.66666667	69.33333333	41.886	0.24278	36.15	0.158108175	0.037218518	24	5.466
67	52.132	0.255	1	1467	1.80	0.80	4.572084353	0.19	2.16	66.66666667	49.33333333	77	0.74248	14.796	0.284862349	0.08203123	30	5.314
69	52.157	0.241	1	1467	1.40	1.40	5.515192414	0.21	2.31	83.33333333	31.33333333	50.505	1.3119	9.553	0.174101858	0.088356157	30	6.296
70	52.152	0.219	1	1467	1.30	1.70	7.662704182	0.17	2.38	78.66666667	52	7.144	0.19174	46.971	0.493456025	0.017647465	30	4.994
71	52.135	0.222	1	1466	1.30	0.85	6.858627713	0.15	1.87	58.38926174	55.70469799	7.937	0.36864	33.144	0.434024353	0.002303125	30	5.438
75	52.117	0.242	1	1465	1.00	1.10	6.317056051	0.26	3.02	84	32	75.391	0.6127	3.164	0.173309943	0.17735461	30	5.474
76	52.106	0.232	1	1466	0.95	1.10	10.00839586	0.29	3.20	108	24	7.68	0.82038	6.528	0.07391095	0.299406456	30	4.222
78	52.093	0.223	1	1466	0.75	1.20	6.107065893	0.26	3.03	71.33333333	34.66666667	43.733	0.12729	0.852	0.035043599	0.246683156	30	5.376
95	52.051	0.144	1	1465	1.25	0.75	9.942998677	0.22	2.51	62	49.33333333	2.815	0.87034	80.451	0.799190655	0.006113419	30	4.574
96	52.063	0.151	1	1466	1.15	1.10	3.795635717	0.21	2.33	69.33333333	54.66666667	45.896	0.24511	11.181	0.195975115	0.163324457	30	5.356
