Col.	Type	Y	X	Elev.	Bush Dist.	H2O %	%N	%C	%Sand	%Silt	PebblesWt	LeafLitter	vegBiomass	Propveg	Proprocks
1	1	16.166	44.68	1200	0.78	1.678736499	0.062	1.020	94.96644295	3.020134228	26.326	1.80761	80.867	1.848015233	91.55644734
2	1	16.157	44.664	1198	1.18	2.832589731	0.073	1.145	100	1.324503311	36.223	2.94285	25.576	96.64124285	0
6	1	16.143	44.636	1198	0.53	3.37221432	0.055	0.655	103.3557047	2.684563758	7.767	1.36292	17.9015	72.92330525	1.794759949
8	1	16.14	44.621	1200	0.74	1.557051699	0.025	0.445	105.2980132	1.986754967	21.491	0.28801	14.274	38.40805356	1.412345714
9	1	16.122	44.603	1200	1.06	1.532300963	0.052	0.780	92.66666667	4.666666667	1.756	0.07653	50.7135	17.59212574	6.166254962
13	1	16.109	44.58	1200	0.87	4.643480227	0.067	0.947	80	10	46.912	0.97989	11.4535	91.60240492	0.32765008
15	1	16.105	44.57	1205	0.95	2.542750821	0.068	1.090	80	11.33333333	4.788	0.17462	25.0415	41.55541871	2.533541075
18	1	16.086	44.528	1205	3.56	3.781370986	0.051	0.770	77.18120805	10.06711409	63.839	0.14356	37.711	16.3684914	46.85057626
20	1	16.105	44.506	1204	0.91	2.689310188	0.049	0.733	73.33333333	16	17.842	2.46126	38.6925	42.54574669	0.182025744
21	1	16.114	44.55	1202	1.98	3.178403259	0.040	0.557	90	6	29.347	0.29065	17.134	29.87582442	9.096643705
23	1	16.137	44.587	1199	1.08	5.135054607	0.027	0.565	80.13245033	7.947019868	13.973	1.11953	39.7965	73.65135818	0.284621948
27	1	16.164	44.653	1196	0.97	2.253253768	0.041	0.785	93.2885906	5.369127517	8.283	0.12766	19.9695	5.387605856	28.29464669
28	1	16.173	44.651	1198	1.32	5.966261576	0.046	0.759	80.13245033	7.284768212	19.525	0.2387	59.0035	47.76947968	0.066378397
30	1	16.171	44.62	1197	0.72	3.208674346	0.043	0.648	88.66666667	7.333333333	19.844	0.43368	18.7165	48.86112512	0.657712128
32	1	16.147	44.55	1202	1.58	5.873405432	0.038	0.672	69.53642384	15.23178808	8.891	0.68535	10.2165	15.60029483	13.2962825
34	1	16.11	44.515	1201	1.26	3.876961663	0.217	0.688	92	6.666666667	16.694	0.02857	35.342	14.68230239	27.7241604
36	1	16.12	44.508	1200	0.74	6.16530305	0.089	1.103	83.33333333	6	1.401	6.8122	35.096	28.84517949	7.283317976
46	1	16.158	44.553	1201	0.58	9.295280894	0.058	0.851	75.81699346	9.803921569	2.471	4.367965	23.916	82.91961018	0.733267433
49	1	16.194	44.558	1200	0.5	2.00301982	0.079	2.256	92.71523179	3.311258278	18.251	1.50708	10.063	15.7970274	6.526414359
51	1	16.201	44.523	1198	1.29	2.178624531	0.051	0.751	93.33333333	6	44.427	3.34613	9.1505	84.19470158	0.870798499
54	1	16.167	44.504	1201	0.95	1.720420522	0.020	0.705	87.5	9.868421053	30.0991	0.28017	11.012	22.18381639	5.6905334
12	0	16.128	44.588	1198	1.49	5.428363485	0.056	0.705	77.02702703	8.108108108	58.75	0.31437	41.892	54.75822771	2.418174451
16	0	16.096	44.552	1203	0.76	3.229836375	0.041	0.605	92.10526316	7.894736842	10.826	1.87098	103.3145	33.13081697	0.393647744
29	0	16.175	44.642	1200	0.89	3.655676183	0.058	1.287	99.33333333	2	24.472	0.40585	11.886	33.2609544	3.161652864
31	0	16.162	44.616	1198	0.94	7.149975708	0.070	0.946	94.63087248	6.040268456	10.025	6.41489	64.2525	64.54383525	0.411571807
37	0	16.133	44.518	1198	0.93	6.656026081	0.033	0.473	78.14569536	5.960264901	30.289	0.03327	5.1025	73.44227136	0.502291846
38	0	16.133	44.326	1200	0.53	3.143994298	0.036	3.693	90.90909091	5.844155844	119.441	0.13101	10.486	19.71151864	21.12403049
39	0	16.143	44.531	1201	1.09	2.145614695	0.025	0.663	84	13.33333333	1.637	0.10476	19.478	19.12647094	28.76539925
40	0	16.157	44.527	1202	0.76	2.406965649	0.015	1.077	94.0397351	3.311258278	10.215	0.03096	10.9435	5.771369289	35.1358107
42	0	16.195	44.571	1202	1.16	3.112650211	0.028	0.332	92.05298013	2.649006623	4.899	5.51868	10.0595	19.09557898	3.698237196
43	0	16.186	44.573	1203	0.84	3.456197319	0.032	0.475	94.70198675	1.986754967	8.713	4.56494	9.048	15.99956335	3.247577718
44	0	16.181	44.563	1202	1.08	6.731051682	0.019	0.374	87.58169935	5.22875817	40.343	0.44436	9.045	8.174156033	7.044597841
45	0	16.164	44.556	1200	0.57	2.217398395	0.101	1.870	90.8496732	8.496732026	5.57	3.33171	16.3985	36.78767666	2.216877502
47	0	16.18	44.551	1199	0.54	4.455936929	0.015	0.373	96.05263158	1.315789474	23.984	0.33362	14.358	23.19025073	5.015602023
48	0	16.189	44.556	1201	0.72	3.239980108	0.000	0.549	94	4	2.09	0.01256	7.5225	47.82621677	4.117964599
50	0	16.208	44.565	1200	1.13	1.931413288	0.028	0.566	88.66666667	3.333333333	6.677	0.03014	14.5245	29.46489791	4.237954764
55	0	16.164	44.522	1198	0.55	6.801429991	0.030	0.488	99.34210526	1.315789474	3.33	0.20537	31.702	31.72963383	1.637121639
57	0	16.223	44.587	1204	0.8	2.111125363	0.032	0.607	98	7.333333333	9.836	0.08806	44.5285	41.20359699	5.406422295
58	0	16.203	44.582	1203	0.07	3.198088426	0.031	0.501	87.41721854	6.622516556	2.489	-0.03906	14.1575	37.90487166	4.318990235
60	0	16.229	44.56	1203	1.04	2.164103565	0.039	0.875	86.66666667	7.333333333	30.681	0.72957	22.7305	31.77371844	14.14278647
