Colony	Type	Y	X	Elevation	Bush Dist.	Nest Dmtr	Perc Water	%N	%C	%Sand	%Silt	%Clay+50	PebbleWt	Leaf Litter	Veg Biomass	% Veg	% rocks
1	0	0.644	0.255	786	1.05	1.35	6.03511899	0.09	1.54	49.66442953	59.73154362	40.60402685	14.519	0.59548	29.252	0.403660029	0.000268709
2	0	0.656	0.217	786	1.6	0.9	7.246032726	0.06	0.79	62.74509804	54.24836601	33.00653595	16.383	0.12613	6.874	0.240722425	0.000536026
6	0	0.677	0.243	786	0.9	0.6	6.35378935	0.06	0.58	72.97297297	34.45945946	42.56756757	33.877	0.07224	51.58	0.37493788	0.000308582
7	0	0.662	0.244	787	1.1	1.35	5.108992428	0.08	0.96	63.75838926	52.34899329	33.89261745	4.386	0.37786	75.5	0.669993074	0.000648762
13	0	0.641	0.265	783	1.6	0.95	6.90539969	0.10	1.96	41.95804196	59.44055944	48.6013986	31.703	0.05483	26.494	0.554906292	0.029822191
15	0	0.635	0.241	784	0.3	0.6	7.610544218	0.09	1.45	76.35135135	51.35135135	22.2972973	25.634	0.0907	12.849	0.348322868	0.008413939
16	0	0.632	0.239	769	1.1	1.15	13.62323215	0.11	1.94	59.33333333	50.66666667	40	31.293	0.32385	74.89	0.653090509	0.001098695
18	0	0.632	0.267	777	1	0.85	6.071556941	0.09	2.19	52.98013245	59.60264901	37.41721854	34.814	0.24799	10.012	0.333927565	0.040488621
21	0	0.627	0.295	783	0.8	1.15	6.162165586	0.05	0.50	68.21192053	49.00662252	32.78145695	58.177	0.71069	18.96	0.739761313	0.006487752
30	0	0.681	0.289	783	1.7	1	5.872621382	0.08	1.75	49.00662252	66.88741722	34.10596026	27.688	0.25752	22.047	0.461712971	0.104955461
32	0	0.691	0.261	784	0.85	0.7	6.881859612	0.05	1.55	47.79874214	62.89308176	39.3081761	24.423	0.50048	29.432	0.39555893	0.01469038
34	0	0.708	0.252	787	1.05	1.15	5.940683166	0.08	1.01	65.35947712	45.09803922	39.54248366	8.002	0.28904	64.002	0.789925043	0.003145232
36	0	0.692	0.231	786	0.95	1.2	8.035827211	0.08	1.24	55.33333333	58	36.66666667	8.003	0.63631	14.964	0.370416134	0.00302987
43	0	0.614	0.237	783	1.6	1.3	7.485283879	0.08	1.37	60.26490066	62.25165563	27.48344371	19.363	0.03561	52.014	0.453349766	0.038527871
47	0	0.588	0.261	786	0.75	1.05	5.246705971	0.05	1.93	60.40268456	49.66442953	39.93288591	64.833	0.02758	8.288	0.137018638	0.017400453
53	0	0.65	0.333	785	0.7	0.8	5.738745211	0.09	0.86	81.33333333	24	44.66666667	11.242	0.29631	31.027	0.347607243	0.035764652
56	0	0.565	0.351	779	1.2	1.55	5.421120587	0.09	2.22	73.33333333	40.74074074	35.92592593	45.543	1.50777	27.585	0.56334937	0.042660832
57	0	0.559	0.317	780	1.1	0.9	6.542608764	0.07	1.01	53.84615385	38.46153846	57.69230769	15.705	0.94425	17.24	0.574800118	0.000129024
67	0	0.693	0.296	785	1	1	6.181179748	0.08	1.18	66.22516556	49.66887417	34.10596026	29.54	0.16558	31.916	0.52835417	0.038364479
71	0	0.727	0.311	783	1.3	1.7	5.572426222	0.11	1.52	81.41025641	39.1025641	29.48717949	30.51	0.02976	17.936	0.25632358	0.006192416
73	0	0.739	0.319	782	0.4	1	6.136597559	0.15	2.84	81.45695364	31.78807947	36.75496689	54.932	0.57814	48.285	0.419031044	0.077354236
75	0	0.737	0.334	781	0.65	0.8	6.366211315	0.10	1.84	63.33333333	52	34.66666667	38.753	0.71789	9.274	0.232527362	0.083181927
76	0	0.754	0.333	784	0.85	0.65	5.657384381	0.09	1.17	66	54.66666667	29.33333333	36.326	0.52313	12.964	0.123050611	0.218579777
78	0	0.776	0.336	784	0.5	0.7	7.496126097	0.05	0.77	66.4556962	36.70886076	46.83544304	17.113	0.27594	16.881	0.472151815	0.000187848
79	0	0.778	0.325	785	1.6	1.2	7.555025607	0.07	1.39	64	53.33333333	32.66666667	33.335	0.17229	26.473	0.767942848	0.000122074
83	0	0.746	0.29	785	1.7	1	6.571558518	0.05	1.35	68.21192053	46.35761589	35.43046358	21.58	0.05888	28.08	0.337906703	0.027648872
92	0	0.615	0.164	786	0.9	1.5	6.894739915	0.11	0.89	62.98701299	54.54545455	32.46753247	12.708	0.33005	18.763	0.426882781	0.002727648
97	0	0.606	0.128	782	0.6	1	10.5022993	0.12	1.47	67.76315789	53.28947368	28.94736842	20.42	0.26313	41.218	0.81221734	0.00820351
98	0	0.611	0.109	783	0.9	1.2	10.59110593	0.08	1.54	52.66666667	54.66666667	42.66666667	16.289	0.20391	32.83	0.817452164	0.0097022
3	1	0.656	0.219	788	1.05	0.8	5.050943272	0.07	0.79	57.14285714	60.38961039	32.46753247	4.998	0.57619	20.684	0.459410614	0
5	1	0.683	0.237	787	0.6	1.05	5.626780627	0.07	0.73	58.94039735	58.94039735	32.1192053	11.855	0.24853	67.92	0.476837342	0.001630567
10	1	0.652	0.247	786	0.9	0.55	6.078749324	0.05	1.21	78.91156463	37.41496599	33.67346939	29.502	0.09862	32.202	0.347400854	0.035828384
