tizzype	Y	X	Elevation	Bush Dist. (m)	Nest Dmtr	% water B	% N	%C	% Snd	% Silt	T2 Pebble wt	Leaf Litter	veg biomass	Veg Cover	Rock Cover
1	17.409	19.969	1101	2.65	1.72	4.753186559	0.053	1.637	92.66666667	23.33333333	14.953	0.10765	18.275	18.067	3.401
1	17.324	20.069	1101	1.16	1.21	1.574935518	0.04	2.08	100	14.66666667	27.71	0.13042	10.569	18.389	2.005
0	17.459	20.199	1101	3.36	1.61	4.27242672	0.067	2.153	81.33333333	26.66666667	13.116	0.02634	10.168	6.701	1.740
1	17.470	20.023	1100	0.91	1.04	6.281944057	0.184	3.043	73.82550336	24.16107383	2.488	2.93154	5.043	82.361	0.065
1	17.333	19.966	1103	3.72	1.26	4.605187098	0.0485	1.179	94.80519481	27.27272727	30.861	1.61515	9.667	10.812	6.026
1	17.421	19.858	1101	1.31	0.86	5.190340112	0.108	1.458	72.48322148	22.14765101	4.335	0.30903	23.451	83.354	0.151
1	17.406	20.211	1100	3.24	1.29	7.061155777	0.06	2.21	82	30.66666667	17.995	0.07564	6.790	45.339	0.402
1	17.269	19.863	1102	10.00	0.89	2.427825144	0.076	1.187	94.37086093	19.53642384	24.259	0.51457	10.125	10.118	3.880
1	17.212	19.889	1102	10.00	1.2	3.267637818	0.042	0.575333333	71.52317881	23.8410596	28.707	0.07783	8.188	9.862	3.191383826
1	17.225	19.970	1105	3.88	1.38	4.887888802	0.057	0.723	73.33333333	21.33333333	21.515	1.25021	13.372	17.309	0.855
1	17.320	19.880	1102	7.40	1.51	4.039639683	0.051	0.706	55.62913907	32.45033113	16.735	0.0525	7.908	8.772	3.336
1	17.296	19.910	1104	10.00	1.03	4.986982583	0.06	0.82	64.4295302	22.81879195	27.696	0.25123	7.459	5.296	1.595
1	17.269	19.980	1100	1.24	1.45	9.732539907	0.070	1.472	72.84768212	16.55629139	14.45	0.12539	19.537	19.228	0.334
1	17.530	20.187	1102	1.70	2.07	3.149125596	0.08	2.26	76.1589404	21.85430464	6.428	0.06776	7.349	5.951	2.025
1	17.521	20.137	1102	1.78	0.97	15.80441406	0.249	4.152	68.42105263	33.55263158	0.893	2.94003	3.474	28.466	0.098
1	17.492	20.126	1100	1.74	1.09	9.030375894	0.202	3.687	66.66666667	21.33333333	8.671	0.73152	13.992	35.658	0.322
1	17.481	20.107	1098	1.31	1.54	14.15893892	0.119	3.1955	80.53691275	34.22818792	9.263	0.31667	7.209	17.53437467	1.99285233
1	17.514	20.098	1102	0.69	0.94	16.66487689	0.119	2.866	74.66666667	18	2.611	0.21723	1.763	92.2367865	0
1	17.498	20.073	1101	0.65	0.76	13.95459819	0.247	4.322	81.20805369	25.5033557	1.903	0.99449	5.656	10.269	0.707
1	17.418	19.886	1102	5.20	1.03	5.509123102	0.076	1.229	67.7852349	28.8590604	8.737	0.18856	5.243	14.117	0.198
1	17.394	20.031	1100	0.98	1.53	8.477145595	0.077	2.561	99.33333333	24	18.705	0.34539	2.166	61.186	0.093
1	17.391	19.927	1102	4.36	1.17	3.506011507	0.080	1.258	66.66666667	24.66666667	14.149	0.92782	20.213	10.215	1.574
0	17.425	20.054	1101	2.26	1.8	7.350701475	0.100	2.527	60.40268456	28.18791946	6.711	0.32314	9.813	6.317	1.661
0	17.395	20.109	1102	4.23	1.44	4.903262102	0.051	1.864	72	31.33333333	13.671	0.08458	10.219	10.002	0.830
0	17.432	20.074	1101	3.63	1.68	6.007200902	0.07	3.06	75.67567568	23.64864865	9.211	0.02913	1.736	7.894	0.761
0	17.433	19.951	1099	10.00	1.51	3.999630187	0.066	1.6265	93.91891892	40.54054054	29.9	0.35698	7.557	6.913	3.046
0	17.313	20.029	1102	4.88	1.3	7.424267095	0.07	1.78	92.71523179	20.52980132	27.476	0.16043	14.404	18.104	2.668
0	17.281	20.073	1102	2.85	1.52	4.191805885	0.053	1.748666667	93.37748344	21.85430464	17.83	0.41102	3.124	5.222	3.336
0	17.349	20.157	1105	3.77	1.89	7.053977455	0.052	2.159	90	28	12.152	0.02976	6.614	13.273	2.563
0	17.339	20.094	1101	4.22	1.37	5.014540844	0.064	2.266	82.66666667	22.66666667	15.322	0.06122	12.052	17.120	1.800
0	17.253	20.109	1103	2.10	1.84	7.661556088	0.1105	2.11	98.03921569	16.99346405	18.842	2.70288	15.254	21.505	5.455
0	17.230	20.163	1107	1.57	1.68	3.330931364	0.042	1.074	79.72972973	14.86486486	20.272	0.11221	9.840	20.150	2.494
0	17.330	20.190	1102	10.00	1.47	7.383778563	0.047	1.687	106	22	7.562	0.08906	9.660	8.744	0.981
0	17.365	20.251	1102	1.24	1.89	3.657013658	0.07	2.42	93.95973154	16.10738255	13.451	0.75066	7.958	14.529	1.951
0	17.304	20.228	1102	4.06	1.45	4.705277367	0.063	1.705	80.13245033	30.46357616	12.563	0.39158	15.427	11.240	2.440
0	17.249	20.246	1105	3.65	1.45	11.39511747	0.08	1.53	76.97368421	26.31578947	15.845	15.76026	13.843	12.475	1.835
0	17.350	19.922	1104	6.62	1.52	3.111247919	0.093	1.251	82.38993711	31.44654088	16.777	0.05957	10.929	36.702	0.434
0	17.240	20.022	1102	4.45	0.94	4.237993634	0.05	1.05	91.33333333	26.66666667	15.583	0.04066	5.526	9.123	1.845
0	17.203	20.042	1104	10.00	2.33	4.399186265	0.053	1.383	75.33333333	28.66666667	16.007	0.08314	4.664	21.995	0.405
0	17.497	20.223	1102	3.00	1.4	5.344493233	0.094	2.643	81.33333333	44.66666667	16.746	0.77519	8.430	6.079	3.018
0	17.494	20.208	1100	2.80	1.63	7.370046201	0.073	2.426	77.33333333	23.33333333	11.873	0.00899	10.164	8.680	3.672
0	17.522	20.172	1101	1.17	1.45	2.376105911	0.09	2.57	95.30201342	26.17449664	8.866	0.1983	7.016	6.978	2.038
0	17.485	20.160	1101	4.13	0.99	7.19163719	0.10	2.71	78	19.33333333	18.938	0.62257	13.375	15.329	0.597
0	17.455	20.121	1103	3.23	1.24	4.338770972	0.074	3.2135	92.66666667	29.33333333	14.497	-0.00018	5.516	4.309	1.174
0	17.469	20.096	1100	2.90	1.62	5.463635452	0.072	2.827	81.69934641	22.87581699	14.068	0.08033	10.791	6.337	0.922
0	17.392	19.894	1102	9.00	1.33	9.505140702	0.099	1.217	83.44370861	24.50331126	4.882	1.00137	10.378	9.362	0.489
0	17.397	19.862	1106	3.42	2.18	3.230006485	0.059433444	0.910364421	75.08305648	24.58471761	20.179	0.07727	6.390	14.934	1.574
0	17.410	19.882	1100	5.88	1.09	6.169009179	0.06	0.94	86.66666667	20	21.966	0.13908	4.138	7.106	1.144
0	17.360	20.035	1103	1.80	1.71	4.684366615	0.06	2.32	86.75496689	22.51655629	19.832	0.05251	6.109	11.221	1.440
0	17.420	20.178	1101	3.39	0.9	5.070107552	0.06	2.51	97.35099338	21.19205298	14.697	0.04092	10.292	4.025	0.695
0	17.431	20.209	1100	3.42	1.49	5.349819852	0.072050568	2.557717919	92.66666667	23.33333333	8.651	0.08856	3.383	4.094	1.303
0	17.415	20.073	1101	2.93	1.25	5.328066745	0.094	2.997	79.47019868	24.50331126	7.814	0.33529	4.831	15.412	0.572
0	17.371	19.994	1102	4.88	1.93	4.463015888	0.069	1.463666667	96	30	18.318	0.08369	27.595	18.28747127	3.83533724
1	17.432	20.000	1102	3.75	2.29	6.417181546	0.08	2.33	93.33333333	28	11.733	1.2385	6.618	23.923	0.795
