Col.	Y	X	Type	Elev.	Bush Dist.	H2O %	%N	%C	%Sand	%Silt	%clay	PebblesWt	LeafLitter	vegBiomass	Propveg	Proprocks	Depth
3	23.949	39.79	1	1315	2.56	4.859268369	0.086454868	0.84736377	65.33333333	30.66666667	4	26.577	0.4605	7.326	0.035593872	12.53442015	30
6	23.922	39.798	1	1321	1.96	10.49171668	0.090008713	0.965635777	47.68211921	39.07284768	13.24503311	56.919	0.76272	15.6805	21.99567576	4.029689436	30
7	23.922	39.807	1	1321	3.83	4.950027935	0.097871892	0.994343221	54	47.33333333	-1.333333333	14.168	1.37722	9.813	5.930495863	6.885380531	30
10	23.915	39.81	1	1319	5.97	13.21071687	0.067275479	0.648643434	41.7218543	38.41059603	19.86754967	66.764	0.12071	11.67	2.874179299	16.83427684	30
11	23.929	39.807	1	1322	2.36	17.30127877	0.064787455	0.683938682	22	13.33333333	64.66666667	27.516	0.21371	14.421	34.96738776	10.47422716	30
12	23.931	39.821	1	1322	2.52	10.75058427	0.101905376	1.080346346	41.83006536	50.98039216	7.189542484	29.309	0.46572	18.739	17.09182034	5.188320463	30
15	23.957	39.825	1	1313	1.99	7.166934019	0.064333946	0.773690164	50.66666667	46	3.333333333	45.454	0.6404	7.6385	0.491392525	11.0490161	30
16	23.949	39.834	1	1316	1.06	18.71448002	0.250198126	2.726035118	38.66666667	28	33.33333333	13.237	4.29264	39.623	41.29973613	12.5239403	30
17	23.934	39.817	1	1319	3.16	11.83415201	0.105776444	1.075986505	39.07284768	43.70860927	17.21854305	17.915	0.50677	38.168	7.239943579	17.35635321	30
21	23.937	39.857	1	1320	1.47	21.682091	0.124630772	1.33342433	38.15789474	30.26315789	31.57894737	19.888	0.32062	14.635	18.43155569	28.85974517	30
23	23.920	39.846	1	1321	2.03	11.93841348	0.076109207	0.770359271	34.45945946	49.32432432	16.21621622	20.153	0.46638	13.065	10.54525595	7.829247012	30
25	23.921	39.839	1	1321	1.6	114.8848033	0.0505	0.58	33.9869281	33.33333333	32.67973856	42.318	0.04466	11.535	14.77872899	6.464624377	30
29	23.916	39.852	1	1324	2.66	15.54765278	0.119344458	1.126426101	47.65100671	44.96644295	7.382550336	23.798	0.72357	12.859	11.85827229	2.778091777	30
30	23.940	39.87	1	1323	2.05	22.85893386	0.102469821	1.129154444	31.33333333	56.66666667	12	57.292	0.23995	64.803	58.70406808	7.408405708	30
33	23.911	39.877	1	1322	1.53	6.26590309	0.048912663	0.516635001	84.375	12.5	3.125	80.786	0.10631	10.522	11.07077108	5.705827664	30
39	23.917	39.824	1	1320	0.7	13.25941888	0.071118005	0.799021184	42.85714286	50	7.142857143	29.381	0.63691	37.132	1.072452212	23.68853674	30
41	23.920	39.817	1	1319	1.91	12.91971756	0.08581493	1.007078409	44	39.33333333	16.66666667	26.124	0.42127	12.88	3.795521156	29.00361015	30
42	23.904	39.806	1	1322	0.43	6.748069259	0.060615323	0.603600442	54.24836601	41.17647059	4.575163399	27.127	0.55831	12.994	3.871130219	6.114918354	30
46	23.898	39.816	1	1322	1.72	11.88362585	0.036779609	0.356449962	40.66666667	51.33333333	8	19.776	0.544	11.02	2.786320439	8.034531353	30
47	23.900	39.822	1	1320	0.92	9.741488459	0.030324994	0.346450984	50.33557047	38.25503356	11.40939597	28.061	0.0852	10.065	4.230465621	4.621501586	30
