Label,Colony,Inferred,Pop,Prop
1,OF52,2,1,0.004
2,OF68,2,1,0.004
3,OF109,2,1,0.004
4,OF55,2,1,0.005
5,OF08B,2,1,0.006
6,OF63,2,1,0.006
7,OF108,2,1,0.006
8,OF10B,2,1,0.007
9,OF23,2,1,0.008
10,OF72b,2,1,0.008
11,OF27,2,1,0.009
12,OF84,2,1,0.009
13,OF19,2,1,0.01
14,OF24,2,1,0.011
15,OF26b,2,1,0.012
16,OF85,2,1,0.012
17,OF60,2,1,0.014
18,OF61,2,1,0.015
19,OF25b,2,1,0.026
20,OF54,2,1,0.029
21,OF03,2,1,0.03
22,OF64,2,1,0.043
23,OF45,2,1,0.052
24,OF69,2,1,0.081
25,OF102,2,1,0.118
26,OF82,2,1,0.128
27,OF107,2,1,0.15
28,OF70,2,1,0.165
29,OF22,2,1,0.21
30,OF05B,2,1,0.212
31,OF20,2,1,0.227
32,OF90,2,1,0.422
33,OF89,1,1,0.51
34,OF71,1,1,0.565
35,OF65,2,1,0.624
36,OF81,1,1,0.629
37,OF67,1,1,0.647
38,OF83,1,1,0.792
39,OF04W2,3,1,0.947
40,OF04W1,3,1,0.949
41,OF75,1,1,0.956
42,OF11,1,1,0.969
43,OF13,1,1,0.975
44,OF88,1,1,0.975
45,OF06B,1,1,0.979
46,OF92,1,1,0.98
47,OF02b,1,1,0.982
48,OF30b,1,1,0.983
49,OF87,1,1,0.987
50,OF12B,1,1,0.989
51,OF28,1,1,0.989
52,OF01,1,1,0.99
53,OF14,1,1,0.99
54,OF18,1,1,0.99
55,OF51,1,1,0.99
56,OF73,1,1,0.991
57,OF07,1,1,0.992
58,OF32b,1,1,0.992
59,OF78,1,1,0.992
60,OF94,1,1,0.992
61,OF97,1,1,0.992
62,OF98,1,1,0.992
63,OF04W3,3,1,0.993
64,OF09B,1,1,0.993
65,OF40,1,1,0.993
66,OF46,1,1,0.993
67,OF74,1,1,0.993
68,OF77,1,1,0.993
69,OF105,1,1,0.993
70,OF04W6,3,1,0.994
71,OF110,1,1,0.994
72,OF15,1,1,0.994
73,OF43,1,1,0.994
74,OF48,1,1,0.994
75,OF57,1,1,0.994
76,OF76,1,1,0.994
77,OF80,1,1,0.994
78,OF91,1,1,0.994
79,OF93,1,1,0.994
80,OF106,1,1,0.994
81,OF16,1,1,0.995
82,OF17b,1,1,0.995
83,OF29b,1,1,0.995
84,OF42,1,1,0.995
85,OF47,1,1,0.995
86,OF50,1,1,0.995
87,OF56,1,1,0.995
88,OF62,1,1,0.995
89,OF79,1,1,0.995
90,OF96,1,1,0.995
91,OF103,1,1,0.995
92,OF104w1,1,1,0.995
93,OF04W4,3,1,0.996
94,OF04W5,3,1,0.996
95,OF21,1,1,0.996
96,OF31b,1,1,0.996
97,OF33,1,1,0.996
98,OF36,1,1,0.996
99,OF38,1,1,0.996
100,OF39,1,1,0.996
101,OF53,1,1,0.996
102,OF100,1,1,0.996
1,OF52,2,2,0.996
2,OF68,2,2,0.996
3,OF109,2,2,0.996
4,OF55,2,2,0.995
5,OF08B,2,2,0.994
6,OF63,2,2,0.994
7,OF108,2,2,0.994
8,OF10B,2,2,0.993
9,OF23,2,2,0.992
10,OF72b,2,2,0.992
11,OF27,2,2,0.991
12,OF84,2,2,0.991
13,OF19,2,2,0.99
14,OF24,2,2,0.989
15,OF26b,2,2,0.988
16,OF85,2,2,0.988
17,OF60,2,2,0.986
18,OF61,2,2,0.985
19,OF25b,2,2,0.974
20,OF54,2,2,0.971
21,OF03,2,2,0.97
22,OF64,2,2,0.957
23,OF45,2,2,0.948
24,OF69,2,2,0.919
25,OF102,2,2,0.882
26,OF82,2,2,0.872
27,OF107,2,2,0.85
28,OF70,2,2,0.835
29,OF22,2,2,0.79
30,OF05B,2,2,0.788
31,OF20,2,2,0.773
32,OF90,2,2,0.578
33,OF89,1,2,0.49
34,OF71,1,2,0.435
35,OF65,2,2,0.376
36,OF81,1,2,0.371
37,OF67,1,2,0.353
38,OF83,1,2,0.208
39,OF04W2,3,2,0.053
40,OF04W1,3,2,0.051
41,OF75,1,2,0.044
42,OF11,1,2,0.031
43,OF13,1,2,0.025
44,OF88,1,2,0.025
45,OF06B,1,2,0.021
46,OF92,1,2,0.02
47,OF02b,1,2,0.018
48,OF30b,1,2,0.017
49,OF87,1,2,0.013
50,OF12B,1,2,0.011
51,OF28,1,2,0.011
52,OF01,1,2,0.01
53,OF14,1,2,0.01
54,OF18,1,2,0.01
55,OF51,1,2,0.01
56,OF73,1,2,0.009
57,OF07,1,2,0.008
58,OF32b,1,2,0.008
59,OF78,1,2,0.008
60,OF94,1,2,0.008
61,OF97,1,2,0.008
62,OF98,1,2,0.008
63,OF04W3,3,2,0.007
64,OF09B,1,2,0.007
65,OF40,1,2,0.007
66,OF46,1,2,0.007
67,OF74,1,2,0.007
68,OF77,1,2,0.007
69,OF105,1,2,0.007
70,OF04W6,3,2,0.006
71,OF110,1,2,0.006
72,OF15,1,2,0.006
73,OF43,1,2,0.006
74,OF48,1,2,0.006
75,OF57,1,2,0.006
76,OF76,1,2,0.006
77,OF80,1,2,0.006
78,OF91,1,2,0.006
79,OF93,1,2,0.006
80,OF106,1,2,0.006
81,OF16,1,2,0.005
82,OF17b,1,2,0.005
83,OF29b,1,2,0.005
84,OF42,1,2,0.005
85,OF47,1,2,0.005
86,OF50,1,2,0.005
87,OF56,1,2,0.005
88,OF62,1,2,0.005
89,OF79,1,2,0.005
90,OF96,1,2,0.005
91,OF103,1,2,0.005
