Label,(%Miss),Inferred,Pop,Prop
1,PC8,2,1,0.003
2,PC10,2,1,0.003
3,PC11,2,1,0.003
4,PC12,2,1,0.003
5,PC13,2,1,0.003
6,PC14,2,1,0.003
7,PC16,2,1,0.003
8,PC19,2,1,0.003
9,PC21,2,1,0.003
10,PC23,2,1,0.003
11,PC26,2,1,0.003
12,PC28,2,1,0.003
13,PC38,2,1,0.003
14,PC40,2,1,0.003
15,PC45,2,1,0.003
16,PC58,2,1,0.003
17,PC61,2,1,0.003
18,PC62,2,1,0.003
19,PC78,2,1,0.003
20,PC4,2,1,0.004
21,PC9,2,1,0.004
22,PC20,2,1,0.004
23,PC22,2,1,0.004
24,PC30,2,1,0.004
25,PC34,2,1,0.004
26,PC36,2,1,0.004
27,PC51,2,1,0.004
28,PC53,2,1,0.004
29,PC54,2,1,0.004
30,PC57,2,1,0.004
31,PC60,2,1,0.004
32,PC63,2,1,0.004
33,PC73,2,1,0.004
34,PC82,2,1,0.004
35,PC90,2,1,0.004
36,PC101,2,1,0.004
37,PC103,2,1,0.004
38,PC107,2,1,0.004
39,PC3,2,1,0.005
40,PC5,2,1,0.005
41,PC31,2,1,0.005
42,PC42,2,1,0.005
43,PC44,2,1,0.005
44,PC47,2,1,0.005
45,PC55,2,1,0.005
46,PC64,2,1,0.005
47,PC68,2,1,0.005
48,PC69,2,1,0.005
49,PC70,2,1,0.005
50,PC72,2,1,0.005
51,PC74,2,1,0.005
52,PC77,2,1,0.005
53,PC99,2,1,0.005
54,PC102,2,1,0.005
55,PC128,2,1,0.005
56,PC131,2,1,0.005
57,PC134,2,1,0.005
58,PC145,2,1,0.005
59,PC18,2,1,0.006
60,PC25,2,1,0.006
61,PC27,2,1,0.006
62,PC37,2,1,0.006
63,PC43,2,1,0.006
64,PC49,2,1,0.006
65,PC56,2,1,0.006
66,PC59,2,1,0.006
67,PC75,2,1,0.006
68,PC80,2,1,0.006
69,PC81,2,1,0.006
70,PC92,2,1,0.006
71,PC123,2,1,0.006
72,PC162,2,1,0.006
73,PC1,2,1,0.007
74,PC84,2,1,0.007
75,PC89,2,1,0.007
76,PC136,2,1,0.007
77,PC2,2,1,0.008
78,PC7,2,1,0.008
79,PC35,2,1,0.008
80,PC124,2,1,0.008
81,PC126,2,1,0.008
82,PC141,2,1,0.008
83,PC88,2,1,0.009
84,PC121,2,1,0.009
85,PC33,2,1,0.01
86,PC39,2,1,0.01
87,PC112,2,1,0.01
88,PC48,2,1,0.012
89,PC125,2,1,0.012
90,PC15,2,1,0.013
91,PC32,2,1,0.014
92,PC6,2,1,0.019
93,PC66,2,1,0.021
94,PC143,2,1,0.021
95,PC160,2,1,0.022
96,PC24,2,1,0.03
97,PC29,2,1,0.031
98,PC79,2,1,0.032
99,PC111,2,1,0.051
100,PC127,2,1,0.053
101,PC139,2,1,0.129
102,PC130,2,1,0.196
103,PC109,1,1,0.964
104,PC50,1,1,0.981
105,PC117,1,1,0.983
106,PC152,1,1,0.987
107,PC105,1,1,0.988
108,PC153,1,1,0.989
109,PC147,1,1,0.989
110,PC100,1,1,0.991
111,PC156,1,1,0.991
112,PC157,1,1,0.991
113,PC159,1,1,0.991
114,PC144,1,1,0.992
115,PC158,1,1,0.992
116,PC120,1,1,0.993
117,PC135,1,1,0.993
118,PC154,1,1,0.993
119,PC132,1,1,0.993
120,PC108,1,1,0.994
121,PC116,1,1,0.994
122,PC119,1,1,0.994
123,PC122,1,1,0.994
124,PC140,1,1,0.994
125,PC146,1,1,0.994
126,PC148,1,1,0.994
127,PC150,1,1,0.994
128,PC151,1,1,0.994
129,PC155,1,1,0.994
130,PC161,1,1,0.994
131,PC86,1,1,0.995
132,PC94,1,1,0.995
133,PC97,1,1,0.995
134,PC98,1,1,0.995
135,PC110,1,1,0.995
136,PC118,1,1,0.995
137,PC138,1,1,0.995
138,PC133,1,1,0.995
139,PC83,1,1,0.996
140,PC87,1,1,0.996
141,PC95,1,1,0.996
142,PC96,1,1,0.996
143,PC129,1,1,0.996
144,PC137,1,1,0.996
145,PC149,1,1,0.996
146,PC65,1,1,0.996
147,PC142,1,1,0.996
148,PC52,1,1,0.997
1,PC8,2,2,0.997
2,PC10,2,2,0.997
3,PC11,2,2,0.997
4,PC12,2,2,0.997
5,PC13,2,2,0.997
6,PC14,2,2,0.997
7,PC16,2,2,0.997
8,PC19,2,2,0.997
9,PC21,2,2,0.997
10,PC23,2,2,0.997
11,PC26,2,2,0.997
12,PC28,2,2,0.997
13,PC38,2,2,0.997
14,PC40,2,2,0.997
15,PC45,2,2,0.997
16,PC58,2,2,0.997
17,PC61,2,2,0.997
18,PC62,2,2,0.997
19,PC78,2,2,0.997
20,PC4,2,2,0.996
21,PC9,2,2,0.996
22,PC20,2,2,0.996
23,PC22,2,2,0.996
24,PC30,2,2,0.996
25,PC34,2,2,0.996
26,PC36,2,2,0.996
27,PC51,2,2,0.996
28,PC53,2,2,0.996
29,PC54,2,2,0.996
30,PC57,2,2,0.996
31,PC60,2,2,0.996
32,PC63,2,2,0.996
33,PC73,2,2,0.996
34,PC82,2,2,0.996
35,PC90,2,2,0.996
36,PC101,2,2,0.996
37,PC103,2,2,0.996
38,PC107,2,2,0.996
39,PC3,2,2,0.995
40,PC5,2,2,0.995
41,PC31,2,2,0.995
42,PC42,2,2,0.995
43,PC44,2,2,0.995
44,PC47,2,2,0.995
45,PC55,2,2,0.995
46,PC64,2,2,0.995
47,PC68,2,2,0.995
48,PC69,2,2,0.995
49,PC70,2,2,0.995
50,PC72,2,2,0.995
51,PC74,2,2,0.995
52,PC77,2,2,0.995
53,PC99,2,2,0.995
54,PC102,2,2,0.995
55,PC128,2,2,0.995
56,PC131,2,2,0.995
57,PC134,2,2,0.995
58,PC145,2,2,0.995
59,PC18,2,2,0.994
60,PC25,2,2,0.994
61,PC27,2,2,0.994
62,PC37,2,2,0.994
63,PC43,2,2,0.994
64,PC49,2,2,0.994
65,PC56,2,2,0.994
66,PC59,2,2,0.994
67,PC75,2,2,0.994
68,PC80,2,2,0.994
69,PC81,2,2,0.994
70,PC92,2,2,0.994
71,PC123,2,2,0.994
72,PC162,2,2,0.994
73,PC1,2,2,0.993
74,PC84,2,2,0.993
75,PC89,2,2,0.993
76,PC136,2,2,0.993
77,PC2,2,2,0.992
78,PC7,2,2,0.992
79,PC35,2,2,0.992
80,PC124,2,2,0.992
81,PC126,2,2,0.992
82,PC141,2,2,0.992
83,PC88,2,2,0.991
84,PC121,2,2,0.991
85,PC33,2,2,0.99
86,PC39,2,2,0.99
87,PC112,2,2,0.99
88,PC48,2,2,0.988
89,PC125,2,2,0.988
90,PC15,2,2,0.987
91,PC32,2,2,0.986
92,PC6,2,2,0.981
93,PC66,2,2,0.979
94,PC143,2,2,0.979
95,PC160,2,2,0.978
96,PC24,2,2,0.97
97,PC29,2,2,0.969
98,PC79,2,2,0.968
99,PC111,2,2,0.949
100,PC127,2,2,0.947
101,PC139,2,2,0.871
102,PC130,2,2,0.804
103,PC109,1,2,0.036
104,PC50,1,2,0.019
105,PC117,1,2,0.017
106,PC152,1,2,0.013
107,PC105,1,2,0.012
108,PC153,1,2,0.011
109,PC147,1,2,0.011
110,PC100,1,2,0.009
111,PC156,1,2,0.009
112,PC157,1,2,0.009
113,PC159,1,2,0.009
114,PC144,1,2,0.008
115,PC158,1,2,0.008
116,PC120,1,2,0.007
117,PC135,1,2,0.007
118,PC154,1,2,0.007
119,PC132,1,2,0.007
120,PC108,1,2,0.006
121,PC116,1,2,0.006
122,PC119,1,2,0.006
123,PC122,1,2,0.006
124,PC140,1,2,0.006
125,PC146,1,2,0.006
126,PC148,1,2,0.006
127,PC150,1,2,0.006
128,PC151,1,2,0.006
129,PC155,1,2,0.006
130,PC161,1,2,0.006
131,PC86,1,2,0.005
132,PC94,1,2,0.005
133,PC97,1,2,0.005
134,PC98,1,2,0.005
135,PC110,1,2,0.005
136,PC118,1,2,0.005
137,PC138,1,2,0.005
138,PC133,1,2,0.005
139,PC83,1,2,0.004
140,PC87,1,2,0.004
141,PC95,1,2,0.004
142,PC96,1,2,0.004
143,PC129,1,2,0.004
144,PC137,1,2,0.004
145,PC149,1,2,0.004
146,PC65,1,2,0.004
147,PC142,1,2,0.004
148,PC52,1,2,0.003
