Location,ID,lat,long,Reference,Locale,County,State
Kirk1,J,34.76666667,-112.4333333,Anderson 2006,Chino Valley,Yavapai,AZ
Kirk10,J,32.26666667,-108.5333333,Anderson 2006,Jct. I-10 & Playas,Hidalgo,NM
Kirk11,J,32.26666667,-108.3666667,Anderson 2006,6.1km E Separ,Grant,NM
Kirk12,barbatus,32.9,-105.15,Anderson 2006,Hwy 70 41.6km W Hope,Chaves,NM
Kirk13,barbatus,35.25,-102.65,Anderson 2006,2.4km S Adrian,Oldham,TX
Kirk14,barbatus,35.28333333,-102.05,Anderson 2006,Jct. Ranch Rds. 1061&2381,Potter,TX
Kirk15,barbatus,35.23333333,-101.3666667,Anderson 2006,1.5km N Conway,Carson,TX
Kirk16,barbatus,35.21666667,-97.41666667,Anderson 2006,3.2km E Norman,Cleveland,OK
Kirk17,barbatus,33.86666667,-101.85,Anderson 2006,4.0km N Abernathy,Lubbock,TX
Kirk18,barbatus,32.71666667,-102.4166667,Anderson 2006,0.8km N Hwy 180 & Farm Road 303,Gaines,TX
Kirk19,barbatus,32.71666667,-100.9,Anderson 2006,Snyder,Scurry,TX
Kirk2,J,34.71666667,-111.9,Anderson 2006,1.5km E Cornville,Yavapai,AZ
Kirk20,barbatus,30.26666667,-97.76666667,Anderson 2006,Austin,Travis,TX
Kirk21,rugosus,38.61666667,-118.7666667,Anderson 2006,0.8km S Walker Lake,Mineral,NV
Kirk22,rugosus,38.71666667,-117.65,Anderson 2006,0.2km S Silverpeak,Esmeralda,NV
Kirk23,rugosus,36.16666667,-115.8833333,Anderson 2006,Pahrump,Nye,NV
Kirk24,rugosus,35.96666667,-114.9,Anderson 2006,Dry Lake,Clark,NV
Kirk25,rugosus,33.66666667,-113.7666667,Anderson 2006,Vickburg Rd. 3km N I-10,La Paz,AZ
Kirk26,rugosus,34.78333333,-112.45,Anderson 2006,Chino Valley,Yavapai,AZ
Kirk27,rugosus,33.8,-112.2333333,Anderson 2006,Hwy 74 10.1km E I-10,Maricopa,AZ
Kirk28,rugosus,32.93333333,-111.7,Anderson 2006,1.1km SE Jct I-10 & McCartney rd.,Pinal,AZ
Kirk29,rugosus,33.73333333,-111.4166667,Anderson 2006,"Mazatzal Mtns, Picadilla Creek",Maricopa,AZ
Kirk3,J,34.16666667,-111.3333333,Anderson 2006,Hwy 77 at Oxbow hill,Pinal,AZ
Kirk30,rugosus,33.55,-110.7,Anderson 2006,Hwy77 19.4km N Globe,Pinal,AZ
Kirk31,rugosus,34.98333333,-110.0833333,Anderson 2006,Jct I-40 & Hwy 77,Navajo,AZ
Kirk32,rugosus,32.71666667,-109.5,Anderson 2006,Hwy70 21km E Safford,Graham,AZ
Kirk33,rugosus,32.36666667,-109.6333333,Anderson 2006,1.1km NW Jct I-10 & Hwy 191,Cochise,AZ
Kirk34,FGH,32.26666667,-109.2333333,Anderson 2006,1.5km W San Simon,Cochise,AZ
Kirk35,rugosus,32.05,-109.1833333,Anderson 2006,22.7km S San Simon,Cochise,AZ
Kirk36,FGH,31.91666667,-109.0333333,Anderson 2006,Jct Hwys 9 and 80,Hidalgo,NM
Kirk37,FGH,32.26666667,-108.3666667,Anderson 2006,6.1km E Separ,Grant,NM 
Kirk37,rugosus,32.26666667,-108.3666667,Anderson 2006,6.1km E Separ,Grant,NM 
Kirk38,rugosus,35.05,-106.9166667,Anderson 2006,1.5km W Escondido,Socorro,NM 
Kirk39,rugosus,34.81666667,-106.8,Anderson 2006,3.2km W Jct Hwy 6 & I-25,Valencia,NM
Kirk4,J,33.71666667,-111.3666667,Anderson 2006,"Mazatzal Mtns, Brushy Basin",Maricopa,AZ
Kirk40,rugosus,35,-105.9333333,Anderson 2006,11.0km E Moriarity,Torrance,NM
Kirk41,FGH,34.98333333,-104.8166667,Anderson 2006,16.3km SE Colonias,Guadalupe,NM
Kirk41,rugosus,34.98333333,-104.8166667,Anderson 2006,16.3km SE Colonias,Guadalupe,NM
Kirk42,FGH,35.28333333,-102.05,Anderson 2006,Jct Ranch Roads 1061 & 2381,Potter,TX
Kirk43,FGH,32.26666667,-107.0166667,Anderson 2006,Jct I-10 & Corralitos Rd,Dona Ana,NM
Kirk43,rugosus,32.26666667,-107.0166667,Anderson 2006,Jct I-10 & Corralitos Rd,Dona Ana,NM
Kirk44,FGH,32.81666667,-104.7333333,Anderson 2006,0.5km N Hope,Eddy,NM
Kirk45,FGH,32.71666667,-105.9833333,Anderson 2006,0.6km S Jct Hwy 62 & County Road 339,Gaines,TX
Kirk46,FGH,32.75,-101.7,Anderson 2006,Hwy 180 at border of Borden Co.,Dawson,TX
Kirk5,J,33.55,-110.7,Anderson 2006,Hwy 77 19.4km N Globe,Pinal,AZ
Kirk6,J,31.38333333,-111.05,Anderson 2006,Calabasas campground,Santa Cruz,AZ
Kirk7,J,31.7,-110.3666667,Anderson 2006,Jct Hwys 82 & 90,Cochise,AZ
Kirk8,J,31.66666667,-109.6833333,Anderson 2006,1.5km S Elfrida,Cochise,AZ
Kirk9,J,31.8,-109.05,Anderson 2006,Jct. Hwy 80 & State line Rd.,Cochise,AZ
Kirk-MX1,barbatus,18.85,-99.61666667,Anderson 2006,1km SE Ursulo Galvan,Veracruz,Mexico
Kirk-MX2,barbatus,19.68333333,-96.53333333,Anderson 2006,2km S Amacuzac,Morelos,Mexico
A1,J,30.8865,-110.6374,Anderson et al. 2011,,,
A2,J,31.7347,-110.018,Anderson et al. 2011,,,
A3,J,31.3151,-108.85,Anderson et al. 2011,,,
A4,J,30.783,-109.5761,Anderson et al. 2011,,,
A5,J,32.5863,-110.725,Anderson et al. 2011,,,
A6,J,31.7044,-110.4402,Anderson et al. 2011,,,
A7,J,31.5886,-111.4961,Anderson et al. 2011,,,
A8,J,33.0369,-109.1311,Anderson et al. 2011,,,
BRG,barbatus,26.184,-98.3803,Helms Cahan et al. 2022,"N of Bentsen-Rio Grande State Park, Mission",Hidalgo,TX
BRG,rugosus,32.3154,-109.4844,Helms Cahan et al. 2022,Bowie,Cochise,AZ
CT,barbatus,32.8667,-104.9882,Helms Cahan et al. 2022,W of Hope,Sierra,NM
CT,FGH,32.8667,-104.9882,Helms Cahan et al. 2022,W of Hope,Sierra,NM
EPW,rugosus,31.9836,-106.5858,Helms Cahan et al. 2022,El Paso,El Paso,TX
FB,J,32.1581,-109.4554,Helms Cahan et al. 2022,N Fort Bowie Historical Park,Cochise,AZ
GP,FGH,26.3573,-103.9185,Helms Cahan et al. 2022,near Gomez Palacio,Durango,Mexico
Hill,FGH,32.9603,-107.485,Helms Cahan et al. 2022,E of Hillsboro,Sierra,NM
LAR,barbatus,27.5367,-99.4332,Helms Cahan et al. 2022,"Lake Casa Blanca State Park, Laredo",Webb,TX
LK,barbatus,30.2251,-98.8038,Helms Cahan et al. 2022,Blumenthal,Travis,TX
MSC,barbatus,25.7031,-100.5398,Helms Cahan et al. 2022,Monterrey-Saltillo Site C,Nuevo Léon,Mexico
MSC,rugosus,25.7031,-100.5398,Helms Cahan et al. 2022,Monterrey-Saltillo Site C,Nuevo L?on,Mexico
MSD,barbatus,25.7213,-100.5396,Helms Cahan et al. 2022,Monterrey-Saltillo Site D,Nuevo Léon,Mexico
PHX,rugosus,33.45,-112.0667,Helms Cahan et al. 2022,Phoenix,Maricopa,AZ
S14,FGH,30.8274,-100.2249,Helms Cahan et al. 2022,N of Fort McKavett,Menard,TX
SAL,barbatus,25.4425,-100.992,Helms Cahan et al. 2022,Saltillo,Coahuila,Mexico
Site14,rugosus,30.82875,-103.1199167,Helms Cahan et al. 2022,23.4km W Fort Stockton,,TX
SON,J,31.7121,-110.5896,Helms Cahan et al. 2022,Sonoita,Santa Cruz,AZ
TOR,barbatus,25.6654,-103.5357,Helms Cahan et al. 2022,Torr?on,Coahuila,Mexico
WS,rugosus,32.4652,-109.6902,Helms Cahan et al. 2022,Hwy. 191 2km N I-10 near Willcox,Cochise,AZ
M1,rugosus,29.3852,-114.3819,Mott et al. 2015,,,
M10,rugosus,37.0202,-112.5388,Mott et al. 2015,,,
M11,rugosus,34.1083,-112.9402,Mott et al. 2015,,,
M12,rugosus,36.9197,-111.4797,Mott et al. 2015,,,
M13,rugosus,35.6238,-111.5169,Mott et al. 2015,,,
M14,rugosus,36.4016,-111.5333,Mott et al. 2015,,,
M15,rugosus,36.4391,-110.7516,Mott et al. 2015,,,
M16,rugosus,36.8525,-110.2691,Mott et al. 2015,,,
M17,rugosus,37.2838,-109.5327,Mott et al. 2015,,,
M18,rugosus,38.6066,-109.5872,Mott et al. 2015,,,
M19,J,32.7819,-108.4644,Mott et al. 2015,,,
M2,rugosus,31.2677,-115.5977,Mott et al. 2015,,,
M20,barbatus,32.8119,-108.113,Mott et al. 2015,,,
M21,FGH,32.9586,-105.9547,Mott et al. 2015,,,
M22,rugosus,36.1233,-106.0255,Mott et al. 2015,,,
M23,FGH,38.1516,-104.6502,Mott et al. 2015,,,
M24,FGH,31.7702,-105.4186,Mott et al. 2015,,,
M25,FGH,33.4575,-105.338,Mott et al. 2015,,,
M26,FGH,31.7613,-104.9322,Mott et al. 2015,,,
M27,FGH,32.1769,-104.3783,Mott et al. 2015,,,
M28,FGH,29.593,-103.2263,Mott et al. 2015,,,
M29,FGH,29.6233,-103.1166,Mott et al. 2015,,,
M3,rugosus,33.2152,-116.4544,Mott et al. 2015,,,
M30,barbatus,18.9177,-97.6894,Mott et al. 2015,,,
M31,barbatus,18.2852,-96.1927,Mott et al. 2015,,,
M32,barbatus,21.0366,-104.2558,Mott et al. 2015,,,
