Label,Colony,Inferred,Pop,Prop
1,ALP29,2,1,0.002
2,ALP67,2,1,0.002
3,ALP79,2,1,0.002
4,ALP81,2,1,0.002
5,ALP90,2,1,0.002
6,ALP9,2,1,0.003
7,ALP10,2,1,0.003
8,ALP21,2,1,0.003
9,ALP23,2,1,0.003
10,ALP25,2,1,0.003
11,ALP35,2,1,0.003
12,ALP44,2,1,0.003
13,ALP52,2,1,0.003
14,ALP54,2,1,0.003
15,ALP58,2,1,0.003
16,ALP72,2,1,0.003
17,ALP96,2,1,0.003
18,ALP30,2,1,0.004
19,ALP45,2,1,0.004
20,ALP56,2,1,0.004
21,ALP65,2,1,0.004
22,ALP69,2,1,0.004
23,ALP76,2,1,0.004
24,ALP8,2,1,0.005
25,ALP74,2,1,0.005
26,ALP83,2,1,0.005
27,ALP94,2,1,0.005
28,ALP4,2,1,0.006
29,ALP19,2,1,0.006
30,ALP34,2,1,0.006
31,ALP43,2,1,0.006
32,ALP59,2,1,0.006
33,ALP73,2,1,0.006
34,ALP42,2,1,0.007
35,ALP64,2,1,0.007
36,ALP88,2,1,0.007
37,ALP71,2,1,0.008
38,ALP6,2,1,0.01
39,ALP60,2,1,0.011
40,ALP39,2,1,0.012
41,ALP70,2,1,0.012
42,ALP7,2,1,0.015
43,ALP38,2,1,0.015
44,ALP51,2,1,0.025
45,ALP28,2,1,0.033
46,ALP24,2,1,0.042
47,ALP78,2,1,0.141
48,ALP75,1,1,0.631
49,ALP61,1,1,0.867
50,ALP87,1,1,0.967
51,ALP32,1,1,0.994
52,ALP66,1,1,0.994
53,ALP14,1,1,0.995
54,ALP55,1,1,0.995
55,ALP11,1,1,0.996
56,ALP27,1,1,0.996
57,ALP36,1,1,0.996
58,ALP41,1,1,0.996
59,ALP68,1,1,0.996
60,ALP89,1,1,0.996
61,ALP1,1,1,0.997
62,ALP2,1,1,0.997
63,ALP3,1,1,0.997
64,ALP5,1,1,0.997
65,ALP12,1,1,0.997
66,ALP13,1,1,0.997
67,ALP15,1,1,0.997
68,ALP18,1,1,0.997
69,ALP20,1,1,0.997
70,ALP26,1,1,0.997
71,ALP33,1,1,0.997
72,ALP37,1,1,0.997
73,ALP40,1,1,0.997
74,ALP50,1,1,0.997
75,ALP53,1,1,0.997
76,ALP57,1,1,0.997
77,ALP62,1,1,0.997
78,ALP84,1,1,0.997
79,ALP93,1,1,0.997
80,ALP95,1,1,0.997
81,ALP97,1,1,0.997
82,ALP16,1,1,0.998
83,ALP17,1,1,0.998
84,ALP22,1,1,0.998
85,ALP31,1,1,0.998
86,ALP46,1,1,0.998
87,ALP63,1,1,0.998
88,ALP77,1,1,0.998
89,ALP80,1,1,0.998
90,ALP82,1,1,0.998
91,ALP85,1,1,0.998
92,ALP92,1,1,0.998
1,ALP29,2,2,0.998
2,ALP67,2,2,0.998
3,ALP79,2,2,0.998
4,ALP81,2,2,0.998
5,ALP90,2,2,0.998
6,ALP9,2,2,0.997
7,ALP10,2,2,0.997
8,ALP21,2,2,0.997
9,ALP23,2,2,0.997
10,ALP25,2,2,0.997
11,ALP35,2,2,0.997
12,ALP44,2,2,0.997
13,ALP52,2,2,0.997
14,ALP54,2,2,0.997
15,ALP58,2,2,0.997
16,ALP72,2,2,0.997
17,ALP96,2,2,0.997
18,ALP30,2,2,0.996
19,ALP45,2,2,0.996
20,ALP56,2,2,0.996
21,ALP65,2,2,0.996
22,ALP69,2,2,0.996
23,ALP76,2,2,0.996
24,ALP8,2,2,0.995
25,ALP74,2,2,0.995
26,ALP83,2,2,0.995
27,ALP94,2,2,0.995
28,ALP4,2,2,0.994
29,ALP19,2,2,0.994
30,ALP34,2,2,0.994
31,ALP43,2,2,0.994
32,ALP59,2,2,0.994
33,ALP73,2,2,0.994
34,ALP42,2,2,0.993
35,ALP64,2,2,0.993
36,ALP88,2,2,0.993
37,ALP71,2,2,0.992
38,ALP6,2,2,0.99
39,ALP60,2,2,0.989
40,ALP39,2,2,0.988
41,ALP70,2,2,0.988
42,ALP7,2,2,0.985
43,ALP38,2,2,0.985
44,ALP51,2,2,0.975
45,ALP28,2,2,0.967
46,ALP24,2,2,0.958
47,ALP78,2,2,0.859
48,ALP75,1,2,0.369
49,ALP61,1,2,0.133
50,ALP87,1,2,0.033
51,ALP32,1,2,0.006
52,ALP66,1,2,0.006
53,ALP14,1,2,0.005
54,ALP55,1,2,0.005
55,ALP11,1,2,0.004
56,ALP27,1,2,0.004
57,ALP36,1,2,0.004
58,ALP41,1,2,0.004
59,ALP68,1,2,0.004
60,ALP89,1,2,0.004
61,ALP1,1,2,0.003
62,ALP2,1,2,0.003
63,ALP3,1,2,0.003
64,ALP5,1,2,0.003
65,ALP12,1,2,0.003
66,ALP13,1,2,0.003
67,ALP15,1,2,0.003
68,ALP18,1,2,0.003
69,ALP20,1,2,0.003
70,ALP26,1,2,0.003
71,ALP33,1,2,0.003
72,ALP37,1,2,0.003
73,ALP40,1,2,0.003
74,ALP50,1,2,0.003
75,ALP53,1,2,0.003
76,ALP57,1,2,0.003
77,ALP62,1,2,0.003
78,ALP84,1,2,0.003
79,ALP93,1,2,0.003
80,ALP95,1,2,0.003
81,ALP97,1,2,0.003
82,ALP16,1,2,0.002
83,ALP17,1,2,0.002
84,ALP22,1,2,0.002
85,ALP31,1,2,0.002
86,ALP46,1,2,0.002
87,ALP63,1,2,0.002
88,ALP77,1,2,0.002
89,ALP80,1,2,0.002
90,ALP82,1,2,0.002
91,ALP85,1,2,0.002
92,ALP92,1,2,0.002
