		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8	
ALP1	1	157	163	175	177	-9	-9	150	163	269	288	-9	-9	-9	-9	179	237	334	338	161	161	252	252	228	254
ALP2	1	157	163	175	177	-9	-9	145	155	269	284	390	390	-9	-9	179	241	337	351	169	169	246	246	228	254
ALP3	1	157	163	175	177	-9	-9	145	153	269	288	390	390	-9	-9	179	242	335	338	158	164	252	252	228	254
ALP4	2	157	161	175	179	-9	-9	165	176	280	280	-9	-9	-9	-9	-9	-9	-9	-9	161	161	249	249	239	245
ALP5	1	157	163	175	175	-9	-9	145	167	269	286	390	390	-9	-9	179	241	348	355	161	161	252	252	228	254
ALP6	2	157	168	175	177	-9	-9	152	153	278	284	390	403	312	318	262	262	339	346	176	178	246	261	245	245
ALP7	2	157	157	175	177	-9	-9	147	159	273	286	389	401	306	306	179	270	338	349	164	172	249	252	245	245
ALP8	2	157	157	177	177	-9	-9	149	153	280	280	402	402	304	313	261	287	338	352	174	178	255	255	245	245
ALP9	2	157	157	175	179	-9	-9	152	186	273	276	402	402	-9	-9	270	278	341	345	164	174	243	258	245	245
ALP10	2	157	168	175	177	-9	-9	147	152	280	286	373	403	316	316	262	280	355	362	178	178	249	249	233	242
ALP11	1	157	163	175	177	-9	-9	145	153	269	284	390	390	-9	-9	180	236	332	341	164	164	255	255	228	254
ALP12	1	157	163	175	177	-9	-9	145	153	269	286	390	390	285	286	179	237	350	364	160	169	246	255	228	254
ALP13	1	157	163	175	177	-9	-9	145	153	269	286	-9	-9	-9	-9	179	229	337	342	161	168	246	252	228	254
ALP14	1	157	163	175	177	302	308	145	161	269	288	390	426	-9	-9	179	235	348	355	166	166	252	252	233	257
ALP15	1	157	163	175	175	293	305	145	153	269	286	390	408	-9	-9	179	233	340	355	158	166	246	255	228	254
ALP16	1	157	163	175	175	293	302	145	153	269	286	390	390	287	287	180	238	332	339	164	164	252	252	228	257
ALP17	1	157	163	175	177	302	308	145	155	269	282	390	414	-9	-9	179	233	-9	-9	161	166	255	255	228	254
ALP18	1	157	163	175	177	293	302	145	153	269	290	378	378	-9	-9	179	229	-9	-9	161	161	246	246	228	254
ALP19	2	157	168	177	179	275	314	155	155	273	276	390	403	-9	-9	287	295	340	349	164	168	258	258	234	245
ALP20	1	157	163	175	177	293	302	145	161	269	288	390	426	-9	-9	179	237	-9	-9	166	166	243	243	228	251
ALP21	2	157	161	175	175	314	314	153	172	286	286	403	403	-9	-9	257	274	-9	-9	172	174	243	258	245	245
ALP22	1	157	163	175	177	293	305	145	148	269	284	390	390	-9	-9	179	237	-9	-9	169	169	252	252	228	254
ALP23	2	157	157	175	177	311	311	147	152	273	278	403	403	-9	-9	261	282	-9	-9	166	178	249	258	239	239
ALP24	2	161	172	175	177	-9	-9	148	153	286	288	390	390	-9	-9	266	266	-9	-9	145	166	249	249	245	245
ALP25	2	161	161	175	177	-9	-9	149	165	280	280	401	401	304	318	251	277	343	355	170	170	243	255	233	233
ALP26	1	157	163	175	175	305	308	145	153	269	282	390	426	-9	-9	179	241	337	337	168	168	249	252	228	254
ALP27	1	157	163	175	175	293	302	145	153	269	282	390	426	-9	-9	179	237	327	334	164	164	249	252	228	254
ALP28	2	157	161	177	179	284	311	145	152	269	278	402	402	312	321	259	274	355	360	176	180	246	258	249	249
ALP29	2	157	157	175	179	311	311	147	155	280	286	402	402	304	312	263	280	343	343	161	178	240	249	236	245
ALP30	2	157	168	175	177	311	311	149	154	273	276	403	403	306	308	258	268	337	337	164	178	249	252	233	249
ALP31	1	157	163	175	175	293	308	145	153	269	282	390	426	-9	-9	179	223	348	358	161	161	252	252	228	254
ALP32	1	157	163	175	175	308	311	145	153	269	282	390	414	-9	-9	179	236	339	350	166	166	252	252	228	254
ALP33	1	157	163	175	175	293	305	145	153	271	286	390	426	-9	-9	179	242	-9	-9	-9	-9	246	246	228	254
ALP34	2	157	161	175	177	305	311	149	155	278	284	403	403	310	312	179	268	338	355	166	176	249	249	233	239
ALP35	2	161	161	175	177	314	314	176	197	276	284	390	402	304	310	247	278	351	351	164	170	258	258	234	245
ALP36	1	157	163	175	177	293	302	145	153	269	282	390	390	-9	-9	179	237	341	355	169	169	255	258	228	254
ALP37	1	157	163	175	177	-9	-9	145	153	269	286	389	389	285	286	179	237	339	355	161	161	252	255	228	254
ALP38	2	161	168	175	175	302	311	145	195	278	290	402	402	312	313	259	278	338	338	172	176	246	249	233	249
ALP39	2	161	161	177	177	302	317	153	159	276	276	401	401	308	308	179	179	350	354	172	172	243	258	233	233
ALP40	1	157	163	175	177	302	308	145	153	269	282	390	390	-9	-9	179	241	-9	-9	169	169	246	252	228	254
ALP41	1	157	163	175	175	293	302	145	153	269	282	390	426	-9	-9	179	233	-9	-9	164	176	249	252	228	254
ALP42	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	338	401	-9	-9	-9	-9	-9	-9	166	184	249	249	239	245
ALP43	2	161	168	175	177	296	302	148	153	280	284	389	403	300	308	280	280	-9	-9	164	180	243	258	233	233
ALP44	2	157	157	177	177	311	311	149	180	278	294	402	402	296	296	260	274	-9	-9	168	172	243	258	245	245
ALP45	2	161	161	175	177	311	317	148	153	286	294	401	421	-9	-9	259	274	-9	-9	161	184	249	258	233	233
ALP46	1	157	163	175	177	293	302	145	153	269	282	390	408	-9	-9	179	223	-9	-9	164	164	246	252	228	254
ALP50	1	165	191	-9	-9	-9	-9	145	153	-9	-9	390	390	329	329	179	241	337	342	161	170	246	252	228	254
ALP51	2	162	163	177	179	-9	-9	140	160	-9	-9	338	396	304	304	265	277	316	350	145	168	243	258	245	245
ALP52	2	157	161	175	177	311	314	149	172	276	276	401	401	310	310	232	274	340	340	160	172	246	258	245	245
ALP53	1	157	163	175	177	293	302	148	167	269	286	390	390	-9	-9	179	232	338	348	161	161	246	252	228	254
ALP54	2	157	157	175	177	-9	-9	148	152	280	286	402	402	302	312	261	286	341	352	170	172	258	258	234	245
ALP55	1	157	163	175	177	-9	-9	145	153	271	282	390	390	-9	-9	179	233	340	358	166	172	243	243	228	254
ALP56	2	157	161	175	179	-9	-9	159	174	280	286	401	401	312	312	266	289	338	348	145	174	246	246	245	249
ALP57	1	157	163	175	177	293	302	142	145	269	282	-9	-9	325	325	179	235	326	352	158	176	246	255	228	254
ALP58	2	161	168	175	179	-9	-9	149	180	273	280	382	403	304	312	272	282	338	351	161	164	240	258	245	245
ALP59	2	157	161	175	177	-9	-9	149	195	276	284	-9	-9	312	316	261	265	345	352	145	161	246	246	233	245
ALP60	2	-9	-9	-9	-9	-9	-9	153	153	273	280	-9	-9	304	310	179	261	338	355	166	170	243	258	245	245
ALP61	1	176	178	175	177	-9	-9	145	159	-9	-9	366	366	288	288	179	233	326	350	164	168	258	258	233	254
ALP62	1	157	163	175	177	293	305	145	153	269	286	389	426	292	324	179	235	340	356	161	166	243	255	228	254
ALP63	1	157	163	175	177	302	308	145	153	269	282	390	426	288	291	179	233	348	352	161	161	252	252	228	254
ALP64	2	157	161	179	179	305	317	152	155	280	290	401	420	315	315	210	257	337	344	172	180	246	252	233	245
ALP65	2	157	161	177	177	311	314	152	153	273	276	403	403	310	310	-9	-9	328	337	164	178	255	255	245	245
ALP66	1	157	163	175	177	293	302	145	153	269	284	389	389	-9	-9	179	232	336	347	166	166	246	255	234	254
ALP67	2	161	161	175	175	314	314	147	192	280	286	402	402	-9	-9	247	267	-9	-9	172	180	249	258	239	242
ALP68	1	157	163	175	175	293	302	145	157	269	282	390	414	-9	-9	179	236	-9	-9	166	172	246	252	228	254
ALP69	2	157	161	175	179	311	311	155	174	284	294	403	403	-9	-9	262	268	-9	-9	176	176	243	252	233	245
ALP70	2	161	168	175	177	308	308	147	197	280	286	390	402	-9	-9	263	280	-9	-9	164	180	258	258	234	234
ALP71	2	157	161	175	179	284	311	152	152	286	286	390	390	-9	-9	-9	-9	-9	-9	164	176	249	261	245	245
ALP72	2	157	168	177	177	311	311	152	165	273	280	389	401	302	310	251	261	-9	-9	164	174	243	258	245	249
ALP73	2	168	168	175	177	-9	-9	149	157	276	284	338	384	-9	-9	-9	-9	-9	-9	154	170	258	261	-9	-9
ALP74	2	161	168	175	179	-9	-9	153	155	280	286	389	401	-9	-9	-9	-9	-9	-9	164	164	249	249	245	245
ALP75	1	147	174	-9	-9	-9	-9	153	153	278	278	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	222	222
ALP76	2	161	168	175	175	317	317	147	153	278	286	401	401	304	306	247	261	338	362	161	187	261	261	242	242
ALP77	1	157	163	175	177	293	305	145	167	269	282	390	426	291	327	179	235	338	348	161	161	246	246	228	254
ALP78	2	159	159	-9	-9	-9	-9	152	153	277	277	-9	-9	-9	-9	179	179	-9	-9	179	179	240	249	240	249
ALP79	2	161	168	177	179	284	311	180	192	280	286	402	402	300	313	259	274	343	348	161	172	249	258	233	233
ALP80	1	157	163	175	175	289	329	145	153	269	284	390	426	291	314	179	233	335	335	166	166	246	246	228	254
ALP81	2	161	161	175	175	305	311	147	149	276	276	403	403	300	302	261	267	340	345	180	184	249	261	233	233
ALP82	1	157	163	175	177	293	302	148	153	269	282	390	426	294	294	179	235	334	340	160	161	243	255	228	254
ALP83	2	158	161	175	175	311	311	152	199	286	288	403	414	310	316	265	265	341	345	160	172	243	258	245	245
ALP84	1	157	163	175	177	308	308	142	145	269	286	390	408	288	318	179	233	-9	-9	161	169	252	252	228	254
ALP85	1	157	163	175	177	293	308	142	145	269	284	390	408	-9	-9	179	241	-9	-9	161	161	252	252	228	254
ALP87	1	165	184	-9	-9	-9	-9	137	145	278	278	-9	-9	-9	-9	-9	-9	340	340	168	168	252	252	222	222
ALP88	2	157	157	175	177	299	314	150	176	276	286	390	403	306	315	262	268	343	350	145	172	249	252	245	245
ALP89	1	157	163	175	177	293	302	145	153	269	288	389	426	316	316	179	241	346	362	160	166	252	252	228	254
ALP90	2	157	168	175	175	311	311	152	159	284	286	403	403	308	312	262	265	347	354	176	178	246	258	233	245
ALP92	1	157	163	175	177	299	302	145	153	269	286	390	408	286	288	179	241	326	326	164	168	252	252	228	254
ALP93	1	157	163	175	177	293	305	145	155	269	286	377	426	-9	-9	179	237	340	352	161	166	246	255	228	254
ALP94	2	157	157	175	177	314	338	151	186	276	278	402	402	-9	-9	-9	-9	347	350	145	166	243	261	245	245
ALP95	1	157	163	175	175	293	302	145	153	271	286	390	426	-9	-9	179	235	-9	-9	164	170	246	246	228	254
ALP96	2	157	161	175	175	310	310	159	180	278	280	402	420	-9	-9	-9	-9	-9	-9	172	174	249	255	242	245
ALP97	1	157	163	175	177	293	302	145	153	269	284	390	432	-9	-9	179	233	-9	-9	166	166	255	255	228	254
