		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8	
CT7	2	157	168	175	175	-9	-9	149	157	286	290	390	390	300	311	179	245	356	358	172	176	246	249	245	245
CT8	2	157	161	177	177	-9	-9	149	156	278	288	401	401	286	286	274	280	354	356	172	183	240	249	245	245
CT9	2	157	157	175	175	-9	-9	150	156	278	278	401	401	306	321	247	272	350	358	161	168	240	246	236	245
CT10	1	157	163	175	175	-9	-9	144	144	276	282	433	433	310	310	179	232	328	332	150	174	243	249	228	254
CT11	1	157	163	175	177	314	314	142	148	271	282	390	390	296	331	179	232	327	338	150	166	249	249	233	254
CT12	1	157	163	175	175	-9	-9	142	148	276	288	-9	-9	-9	-9	179	244	327	337	168	168	249	249	233	233
CT13	1	157	163	175	175	-9	-9	142	148	271	284	-9	-9	313	313	179	241	316	316	161	168	249	252	228	254
CT14	1	157	163	175	175	311	311	144	144	271	288	390	390	-9	-9	179	246	327	354	161	170	246	252	228	228
CT15	1	157	163	175	175	311	311	144	145	271	282	-9	-9	300	337	179	241	337	342	161	174	249	249	233	254
CT16	1	163	163	175	175	277	281	144	153	269	276	-9	-9	331	337	246	250	342	344	172	174	243	252	254	254
CT17	1	-9	-9	-9	-9	-9	-9	142	144	-9	-9	390	390	312	312	179	244	316	329	161	161	249	249	233	254
CT18	1	157	163	175	175	281	311	144	145	276	284	-9	-9	285	285	179	246	318	340	150	168	246	246	233	254
CT19	1	157	163	175	175	281	281	144	144	271	284	390	414	306	306	179	241	326	358	168	168	249	249	233	254
CT20	1	157	163	175	175	293	308	142	144	276	286	389	426	304	304	179	241	316	342	170	170	249	249	233	254
CT21	1	-9	-9	-9	-9	-9	-9	148	148	-9	-9	-9	-9	-9	-9	-9	-9	326	326	154	162	252	255	254	254
CT22	1	157	163	175	175	302	314	142	161	276	284	395	414	274	310	179	242	318	344	161	161	249	249	233	233
CT23	1	157	163	175	175	302	302	144	144	276	282	395	395	306	349	179	241	318	344	150	170	249	249	228	254
CT24	2	157	157	175	175	-9	-9	148	148	280	290	389	401	299	300	295	295	340	340	168	172	249	249	236	245
CT25	1	157	163	175	175	302	302	142	155	276	282	395	395	296	349	179	229	318	344	162	168	251	252	252	252
CT26	2	157	157	175	175	-9	-9	152	154	278	290	389	401	302	302	179	289	346	346	170	187	261	261	236	245
CT27	2	157	157	175	175	311	311	149	150	282	282	389	389	308	310	263	274	356	358	180	184	246	246	245	245
CT28	2	156	157	175	175	299	314	148	157	278	282	401	401	304	304	280	288	-9	-9	160	184	246	258	245	245
CT29	2	157	161	177	177	311	317	148	156	284	292	401	401	302	308	276	293	340	340	168	170	249	249	245	249
CT30	2	157	157	175	177	296	296	148	157	278	284	401	401	304	315	247	253	344	352	174	180	246	249	245	249
CT31	2	157	157	175	175	-9	-9	148	150	278	278	389	401	320	320	255	280	342	342	184	188	243	246	245	245
CT32	2	157	158	175	175	314	335	149	149	278	282	389	401	302	302	255	274	334	348	170	176	249	249	245	245
CT33	1	157	163	175	175	281	281	144	144	271	284	395	408	304	304	179	248	316	350	156	161	249	249	233	233
CT34	1	157	163	175	175	302	308	142	144	276	282	395	426	311	351	179	210	336	363	150	174	249	249	233	254
CT35	1	157	163	175	175	293	302	142	144	276	284	395	408	-9	-9	179	229	332	344	150	168	252	252	228	228
CT36	1	157	163	175	175	293	293	144	150	271	284	395	426	306	306	179	246	318	342	161	170	252	252	233	254
CT37	1	157	163	175	175	293	314	144	148	269	288	390	414	343	343	179	232	338	354	174	174	249	249	233	254
CT38	1	157	163	175	175	296	308	142	161	269	282	389	426	311	311	179	241	318	342	168	168	249	249	228	254
CT39	2	157	157	177	177	311	330	156	156	278	282	414	414	302	317	253	261	350	356	174	184	240	240	245	245
CT40	2	157	157	175	175	299	335	152	156	278	286	389	389	308	312	259	272	337	337	168	174	246	273	236	245
CT41	2	157	157	175	177	314	329	148	148	278	278	401	401	308	308	289	289	342	360	170	183	240	261	245	249
CT42	2	157	157	175	177	311	311	148	148	278	288	389	389	302	304	286	297	343	343	183	184	249	258	245	245
CT44	2	-9	-9	-9	-9	-9	-9	148	148	278	278	401	401	302	304	257	295	343	346	159	170	246	249	236	245
CT45	2	157	168	177	177	314	335	148	154	278	282	388	388	302	302	270	278	356	356	176	180	240	258	245	245
CT46	2	157	157	175	175	311	314	156	156	278	284	389	432	302	315	304	314	334	350	172	172	240	249	-9	-9
CT47	2	156	157	175	175	311	329	149	150	278	278	389	401	302	308	247	247	349	354	172	178	243	258	245	245
CT48	2	157	157	175	177	299	311	156	172	274	278	432	432	302	306	265	288	346	346	161	172	249	261	245	245
