		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8	
DC7	1	161	163	175	175	-9	-9	150	178	288	294	-9	-9	302	302	179	304	-9	-9	179	179	246	258	246	258
DC8	1	157	163	175	175	-9	-9	142	157	271	288	390	403	279	279	179	179	-9	-9	170	176	246	246	228	242
DC9	1	161	163	175	175	284	284	150	184	288	296	390	403	299	299	179	179	320	344	152	154	246	261	230	242
DC11	1	161	163	175	175	-9	-9	157	184	288	290	403	403	296	296	179	179	352	369	158	175	246	258	225	242
DC12	2	163	163	175	175	289	299	142	144	276	282	382	401	316	316	220	220	322	322	166	170	249	261	242	254
DC13	1	161	163	175	175	284	311	157	184	290	290	395	401	294	294	179	179	316	316	156	158	246	258	230	242
DC14	1	161	163	175	175	284	305	155	182	288	290	389	401	302	302	179	179	316	352	154	158	246	258	231	242
DC15	1	161	163	175	175	305	314	157	172	284	288	403	403	296	296	179	179	316	352	156	161	246	261	230	242
DC16	2	157	157	175	175	-9	-9	144	150	273	273	382	395	306	330	-9	-9	-9	-9	170	176	261	261	213	254
DC17	1	161	163	175	175	-9	-9	157	184	290	292	390	403	302	324	179	179	316	352	152	154	246	261	230	242
DC18	1	161	163	175	175	284	305	150	192	288	290	395	401	294	328	179	179	316	352	154	158	246	258	225	242
DC19	1	176	176	175	175	-9	-9	152	152	-9	-9	375	375	299	326	179	310	314	352	-9	-9	246	261	230	230
DC20	1	161	163	175	175	284	305	157	192	292	298	390	403	302	302	179	179	316	316	154	158	246	258	225	242
DC21	1	161	163	175	175	284	305	155	192	288	290	395	403	294	328	179	179	316	316	152	157	249	258	230	242
DC22	1	157	163	175	175	284	284	150	201	288	296	390	403	283	283	179	179	316	352	154	187	246	246	236	242
DC23	1	161	163	175	175	-9	-9	153	192	288	290	390	403	304	304	179	179	316	316	164	173	246	258	225	242
DC24	2	157	163	175	175	275	293	150	163	273	280	395	401	308	312	220	225	346	360	166	166	252	252	242	242
DC25	1	161	163	175	175	284	284	157	182	288	298	395	403	294	294	179	179	316	352	154	166	246	258	230	242
DC26	1	161	163	175	175	-9	-9	150	184	288	294	390	403	300	302	179	179	316	325	158	175	246	258	230	242
DC27	1	161	163	175	175	284	305	157	197	290	292	390	403	299	299	179	179	318	352	154	158	246	258	230	242
DC28	1	161	163	175	175	284	284	150	172	284	288	390	403	294	294	179	179	316	316	154	166	246	255	231	242
DC29	2	163	163	175	175	-9	-9	144	145	273	284	382	382	-9	-9	246	248	-9	-9	166	166	252	282	242	251
DC30	1	161	163	175	175	-9	-9	150	195	288	292	403	403	292	326	179	179	316	316	161	176	246	261	225	242
DC31	2	157	163	175	175	-9	-9	167	167	273	273	382	382	-9	-9	227	252	340	346	168	170	227	252	242	254
DC32	1	161	163	175	175	284	310	157	184	290	292	390	403	296	296	179	179	316	352	154	160	246	258	230	242
DC33	1	161	163	175	175	284	305	150	182	288	299	390	403	294	294	179	179	316	344	156	160	246	258	225	242
DC34	1	161	163	175	175	284	305	157	172	284	288	390	403	300	324	179	298	314	316	154	166	246	258	225	242
DC35	1	161	163	175	175	284	305	157	182	284	290	390	403	302	304	179	179	316	352	154	164	246	261	230	242
DC36	1	161	163	175	175	316	316	157	190	290	302	390	403	296	296	179	179	316	352	156	166	246	261	225	242
DC37	2	157	163	175	175	289	302	142	169	273	273	382	390	310	314	227	250	326	342	170	176	249	252	242	254
DC38	2	163	163	175	175	275	275	144	176	273	276	402	402	306	310	227	252	347	360	164	170	246	255	242	242
DC39	2	163	163	175	175	275	302	142	144	286	286	390	395	304	314	243	252	345	347	170	170	249	251	249	251
DC40	2	163	163	175	175	272	275	150	150	278	284	382	382	312	320	235	237	323	369	164	170	261	261	242	251
DC41	2	163	163	175	175	289	289	144	145	269	273	390	414	301	328	232	248	345	352	168	168	249	258	242	251
DC42	2	163	163	175	175	272	289	150	176	269	273	382	402	306	316	241	252	360	360	164	170	255	282	236	242
DC43	2	157	163	175	175	272	293	145	163	278	280	382	382	316	320	220	237	344	353	168	170	258	258	245	254
DC44	2	157	163	175	175	275	302	150	176	273	286	401	414	306	318	210	249	339	369	170	174	255	258	242	242
DC45	2	157	157	175	175	289	293	145	174	273	286	382	390	308	310	235	241	326	358	166	170	252	252	242	254
DC46	1	161	163	175	175	284	305	150	192	288	290	389	403	294	324	179	179	316	352	152	154	246	258	230	242
DC47	2	157	163	175	175	272	275	145	169	273	282	382	395	306	314	233	252	343	372	168	170	251	251	242	251
DC48	2	157	163	175	175	272	272	144	169	273	278	382	390	301	316	216	237	339	358	152	170	251	261	242	251
DC49	1	161	163	175	175	284	305	150	172	288	298	390	403	300	300	179	179	316	352	158	176	258	258	230	242
DC50	2	157	163	175	175	272	275	144	145	269	282	382	395	316	316	227	237	326	341	168	170	261	282	242	242
DC51	1	161	163	175	175	284	289	150	201	292	298	390	403	302	324	179	179	316	316	164	178	246	258	230	242
DC52	2	157	157	175	175	272	302	142	142	273	284	382	401	301	316	220	235	330	347	152	176	252	252	242	242
