		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8			
OF01	1	157	162	175	175	-9	-9	145	153	269	282	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9		
OF02b	1	157	162	175	175	-9	-9	145	161	269	282	-9	-9	-9	-9	179	223	-9	-9	174	176	246	246	233	254		
OF03	2	157	160	177	177	-9	-9	140	149	278	280	390	418	308	308	179	179	326	326	158	158	246	252	221	233		
OF04W1	3	157	162	175	177	-9	-9	153	155	269	280	-9	-9	312	312	179	221	344	350	156	156	246	252	242	254		
OF04W2	3	157	162	175	177	281	293	153	155	270	280	384	390	312	312	179	221	346	350	156	156	246	252	242	254		
OF04W3	3	157	162	175	175	293	302	142	142	269	280	390	427	-9	-9	179	225	338	356	156	176	244	252	228	254		
OF04W4	3	162	162	175	175	293	293	153	153	269	269	390	390	-9	-9	221	225	338	354	156	166	253	252	254	254		
OF04W5	3	162	188	175	175	293	293	142	153	269	269	390	390	-9	-9	221	225	346	352	156	166	253	252	254	254		
OF04W6	3	162	162	175	175	293	302	142	142	269	280	390	427	-9	-9	179	225	338	356	156	176	244	252	228	254		
OF05B	2	157	157	175	177	-9	-9	142	154	261	280	403	403	308	308	-9	-9	342	350	160	170	244	246	228	228		
OF06B	1	157	162	175	175	-9	-9	145	161	273	280	390	403	-9	-9	179	242	344	354	156	184	246	246	228	254		
OF07	1	157	162	175	175	-9	-9	145	153	269	282	418	418	-9	-9	179	244	338	354	164	164	246	246	228	254		
OF08B	2	157	158	177	179	-9	-9	147	155	280	280	384	384	300	308	220	243	348	350	158	158	240	249	222	236		
OF09B	1	157	162	175	175	-9	-9	145	153	269	282	390	390	-9	-9	179	223	342	344	164	176	246	252	230	254		
OF10B	2	157	157	177	177	-9	-9	156	177	277	277	384	384	306	314	179	230	326	350	156	156	240	246	221	233		
OF11	1	157	162	175	177	-9	-9	145	153	271	280	390	418	-9	-9	179	238	348	354	162	170	256	255	228	254		
OF110	1	157	162	175	175	302	308	142	147	270	284	389	389	-9	-9	179	235	-9	-9	168	170	256	255	228	228		
OF12B	1	157	162	175	175	-9	-9	145	159	269	280	-9	-9	-9	-9	179	229	-9	-9	162	168	256	255	228	254		
OF13	1	157	162	-9	-9	-9	-9	145	153	269	280	-9	-9	-9	-9	179	231	-9	-9	163	169	255	255	230	257		
OF14	1	157	162	175	175	-9	-9	142	145	269	284	-9	-9	-9	-9	277	277	342	350	161	172	252	255	228	254		
OF15	1	-9	-9	175	175	293	308	142	145	-9	-9	-9	-9	327	327	179	229	347	352	161	179	252	255	230	254		
OF16	1	157	162	175	175	293	302	145	153	269	284	389	389	321	321	179	221	348	352	160	160	243	246	228	254		
OF17b	1	157	162	175	175	293	302	145	153	271	284	-9	-9	281	281	179	235	346	354	168	187	246	252	228	254		
OF18	1	157	162	175	175	302	308	145	155	271	284	-9	-9	-9	-9	179	244	346	350	161	168	246	255	231	254		
OF19	2	157	157	177	177	311	314	143	143	262	262	-9	-9	-9	-9	181	235	338	342	-9	-9	240	252	222	245		
OF20	2	-9	-9	177	177	293	293	152	162	-9	-9	-9	-9	-9	-9	179	181	348	352	-9	-9	240	246	219	228		
OF21	1	157	162	175	175	293	302	142	153	271	284	-9	-9	-9	-9	179	242	337	346	164	170	243	252	228	254		
OF22	2	157	157	177	177	305	311	149	163	271	282	376	426	304	312	230	244	334	347	156	168	246	255	228	245		
OF23	2	157	172	177	177	284	299	147	149	262	280	382	401	302	308	237	244	340	357	158	183	246	246	222	233		
OF24	2	157	157	177	179	299	318	147	149	262	265	-9	-9	-9	-9	179	214	334	344	168	170	240	246	230	251		
OF25b	2	157	157	175	177	308	311	149	163	278	286	383	392	310	324	179	219	326	342	164	168	240	261	222	233		
