10-2GTC	P10-2	Pb5	Pb7	P12-1	L18	Pb8									
PC50	1	394	406	215	223	226	232	143	156	293	307	-9	-9	276	282
PC52	1	394	406	221	239	226	232	143	156	295	319	166	193	276	290
PC83	1	394	406	-9	-9	214	232	143	152	295	319	-9	-9	-9	-9
PC86	1	394	437	-9	-9	228	232	143	156	-9	-9	164	167	-9	-9
PC87	1	394	437	-9	-9	226	232	143	152	-9	-9	166	183	-9	-9
PC94	1	394	406	-9	-9	226	232	143	152	-9	-9	167	168	-9	-9
PC95	1	394	406	-9	-9	214	232	143	152	-9	-9	166	189	-9	-9
PC96	1	394	406	-9	-9	226	232	143	152	-9	-9	166	187	-9	-9
PC97	1	394	437	-9	-9	214	232	143	152	-9	-9	164	165	-9	-9
PC98	1	394	405	-9	-9	226	232	143	156	-9	-9	168	187	-9	-9
PC100	1	394	406	-9	-9	224	232	143	152	-9	-9	166	169	-9	-9
PC105	1	400	406	-9	-9	214	232	143	152	295	325	169	170	-9	-9
PC108	1	394	406	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC109	1	400	406	-9	-9	226	232	148	156	-9	-9	164	169	-9	-9
PC110	1	394	406	-9	-9	226	232	143	152	295	328	-9	-9	-9	-9
PC116	1	394	406	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC117	1	394	412	-9	-9	214	232	143	156	-9	-9	166	187	-9	-9
PC118	1	-9	-9	-9	-9	214	232	143	152	-9	-9	164	167	-9	-9
PC119	1	-9	-9	-9	-9	226	232	143	156	-9	-9	168	187	-9	-9
PC120	1	-9	-9	-9	-9	216	232	143	156	-9	-9	164	167	-9	-9
PC122	1	-9	-9	-9	-9	226	232	143	156	-9	-9	168	183	-9	-9
PC129	1	394	406	-9	-9	226	232	143	152	295	319	-9	-9	-9	-9
PC135	1	-9	-9	-9	-9	226	232	143	152	295	313	-9	-9	-9	-9
PC137	1	394	406	-9	-9	226	232	143	156	-9	-9	164	167	-9	-9
PC138	1	394	406	-9	-9	226	232	143	152	-9	-9	162	187	-9	-9
PC140	1	394	406	-9	-9	226	232	143	152	-9	-9	167	168	-9	-9
PC144	1	394	406	-9	-9	214	232	143	152	-9	-9	164	170	-9	-9
PC146	1	394	406	-9	-9	226	232	143	156	-9	-9	-9	-9	-9	-9
PC148	1	-9	-9	-9	-9	226	232	143	152	-9	-9	166	167	-9	-9
PC149	1	394	406	-9	-9	226	232	143	152	295	328	166	193	-9	-9
PC150	1	-9	-9	-9	-9	226	232	143	152	-9	-9	166	167	-9	-9
PC151	1	-9	-9	-9	-9	226	232	143	152	-9	-9	168	189	-9	-9
PC152	1	-9	-9	-9	-9	224	232	143	156	-9	-9	164	167	-9	-9
PC153	1	-9	-9	-9	-9	226	232	143	152	-9	-9	169	170	-9	-9
PC154	1	-9	-9	-9	-9	226	232	143	152	-9	-9	167	168	-9	-9
PC155	1	-9	-9	-9	-9	214	232	143	152	-9	-9	164	167	-9	-9
PC156	1	-9	-9	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC157	1	-9	-9	-9	-9	226	232	143	156	-9	-9	-9	-9	-9	-9
PC158	1	-9	-9	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC159	1	-9	-9	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC65	1	394	406	-9	-9	226	232	143	152	295	319	168	191	-9	-9
PC132	1	-9	-9	-9	-9	226	232	143	152	-9	-9	164	181	-9	-9
PC133	1	-9	-9	-9	-9	226	232	143	156	-9	-9	164	167	-9	-9
PC142	1	394	406	-9	-9	226	232	143	152	-9	-9	164	193	-9	-9
PC147	1	400	406	-9	-9	226	232	143	152	-9	-9	-9	-9	-9	-9
PC161	1	-9	-9	-9	-9	226	232	143	156	-9	-9	164	191	-9	-9
PC1	2	388	394	236	241	240	240	143	148	293	293	170	192	278	280
PC2	2	395	406	233	237	238	242	141	141	299	307	159	180	286	286
PC3	2	388	400	233	243	238	238	141	143	296	305	174	174	280	286
PC4	2	394	395	224	250	238	238	141	141	299	304	174	182	266	286
PC5	2	388	394	226	226	234	238	141	143	273	354	190	192	278	288
PC6	2	388	394	227	233	238	240	145	148	302	308	174	184	276	280
PC7	2	388	394	227	235	236	238	141	145	273	293	170	174	282	290
PC8	2	394	412	227	236	240	242	141	141	273	304	172	192	278	278
PC9	2	388	394	229	250	242	242	141	141	273	299	168	170	278	280
PC10	2	388	388	232	233	236	236	141	141	296	326	174	184	284	288
PC11	2	388	395	227	227	238	240	141	148	272	299	170	174	280	282
PC12	2	388	388	227	235	240	240	141	145	272	296	168	170	284	284
PC13	2	388	412	229	244	224	238	141	141	273	299	174	178	278	280
PC14	2	388	388	232	241	234	240	141	145	299	342	178	190	278	288
PC15	2	388	388	224	228	232	238	141	143	293	296	170	182	282	284
PC16	2	388	418	233	250	240	242	141	143	302	305	157	184	278	284
PC18	2	388	400	221	231	236	238	141	143	308	308	170	184	292	294
PC19	2	388	393	224	235	238	238	141	141	299	305	174	182	278	292
PC20	2	388	406	229	231	238	238	141	141	299	302	182	184	278	286
PC21	2	388	412	227	233	234	238	141	141	296	308	170	182	278	288
PC22	2	388	400	232	234	238	238	141	145	272	299	174	182	282	282
PC23	2	388	418	226	233	224	240	141	141	293	308	174	180	278	292
PC24	2	400	407	227	233	238	244	145	152	284	296	174	174	282	288
PC25	2	388	412	221	233	224	234	141	141	273	293	172	174	278	288
PC26	2	400	412	229	233	236	238	141	141	302	308	170	170	278	282
PC27	2	388	406	220	220	234	238	141	141	273	308	184	188	288	292
PC28	2	388	412	225	227	240	244	141	141	293	299	170	178	284	288
PC29	2	388	406	228	233	224	232	141	141	273	293	180	190	284	290
PC30	2	388	406	224	237	236	240	148	148	296	299	174	174	282	284
PC31	2	388	406	228	241	224	238	141	148	272	305	174	182	266	282
PC32	2	394	406	224	229	240	244	-9	-9	272	299	-9	-9	266	280
PC33	2	388	388	227	227	232	238	143	148	273	273	174	178	278	288
PC34	2	388	388	222	233	238	238	141	141	305	327	184	190	284	284
PC35	2	-9	-9	-9	-9	238	240	141	141	-9	-9	-9	-9	-9	-9
PC36	2	388	406	228	228	238	238	141	141	273	308	176	194	280	282
PC37	2	394	418	228	241	238	238	143	148	272	272	170	170	278	280
PC38	2	388	400	225	235	238	240	141	141	272	293	172	180	278	278
PC39	2	388	394	26	227	236	240	141	143	273	293	168	170	278	282
PC40	2	388	412	228	233	234	238	148	148	273	299	174	194	282	288
PC42	2	394	400	229	233	238	238	141	143	299	302	172	176	278	284
PC43	2	388	406	221	226	224	238	141	148	299	326	184	184	284	286
PC44	2	400	412	216	227	224	244	141	143	293	308	170	178	280	282
PC45	2	388	388	232	234	238	244	145	145	273	273	178	178	280	282
PC47	2	388	388	233	233	224	244	143	145	273	305	168	174	294	294
PC48	2	388	388	223	232	238	248	141	141	273	348	174	202	284	294
PC49	2	388	388	232	235	240	244	141	143	273	290	168	170	284	296
PC51	2	388	388	-9	-9	234	238	141	141	272	308	157	168	-9	-9
PC53	2	388	400	228	238	236	240	141	141	273	273	-9	-9	280	288
PC54	2	400	412	-9	-9	240	242	141	141	293	305	170	182	-9	-9
PC55	2	388	400	-9	-9	224	240	141	141	273	308	168	174	-9	-9
PC56	2	388	400	-9	-9	238	240	141	141	298	308	-9	-9	-9	-9
PC57	2	388	388	-9	-9	238	240	145	148	273	293	168	180	-9	-9
PC58	2	388	388	-9	-9	234	238	141	141	293	293	170	172	-9	-9
PC59	2	-9	-9	-9	-9	238	240	141	141	287	299	-9	-9	-9	-9
PC60	2	388	400	-9	-9	238	240	141	141	287	308	170	180	-9	-9
PC61	2	388	400	-9	-9	238	244	141	141	273	290	172	180	-9	-9
PC62	2	388	395	-9	-9	238	244	141	141	273	302	157	174	-9	-9
PC63	2	388	412	-9	-9	238	240	141	141	293	293	170	176	-9	-9
PC64	2	400	406	-9	-9	238	240	141	141	273	293	172	174	-9	-9
PC66	2	400	406	-9	-9	234	234	141	143	296	307	170	174	-9	-9
PC68	2	394	400	-9	-9	224	242	141	141	273	293	172	174	-9	-9
PC69	2	394	400	-9	-9	240	242	141	141	293	296	172	192	-9	-9
PC70	2	388	388	-9	-9	224	244	143	145	302	302	157	170	-9	-9
PC72	2	395	412	-9	-9	238	238	143	148	299	342	176	188	-9	-9
PC73	2	400	400	-9	-9	236	238	141	148	273	342	172	188	-9	-9
PC74	2	395	406	-9	-9	224	244	141	141	273	296	174	174	-9	-9
PC75	2	388	406	-9	-9	234	234	141	145	290	299	168	176	-9	-9
PC77	2	388	412	-9	-9	234	238	141	143	293	296	182	188	-9	-9
PC78	2	388	400	-9	-9	238	240	141	141	273	299	170	174	-9	-9
PC79	2	395	406	-9	-9	238	238	141	143	-9	-9	168	168	-9	-9
PC80	2	388	400	-9	-9	238	238	143	145	-9	-9	184	184	-9	-9
PC81	2	388	400	-9	-9	238	238	143	145	-9	-9	184	184	-9	-9
PC82	2	412	418	-9	-9	238	242	141	141	-9	-9	188	194	-9	-9
PC84	2	412	412	-9	-9	230	236	141	143	-9	-9	170	174	-9	-9
PC88	2	388	394	-9	-9	236	238	141	143	-9	-9	174	178	-9	-9
PC89	2	388	406	-9	-9	240	240	141	141	-9	-9	176	188	-9	-9
PC90	2	412	412	-9	-9	238	238	141	145	-9	-9	180	184	-9	-9
PC92	2	388	388	-9	-9	234	238	141	143	-9	-9	170	178	-9	-9
PC99	2	394	395	-9	-9	238	240	141	141	-9	-9	178	180	-9	-9
PC101	2	388	400	-9	-9	234	240	141	141	-9	-9	172	174	-9	-9
PC102	2	388	406	-9	-9	224	238	141	141	293	296	174	180	-9	-9
PC103	2	388	400	-9	-9	224	238	141	145	-9	-9	178	178	-9	-9
PC107	2	400	400	-9	-9	238	240	141	141	-9	-9	174	176	-9	-9
PC111	2	394	394	-9	-9	224	224	143	145	-9	-9	170	170	-9	-9
PC112	2	388	394	-9	-9	238	242	141	143	305	308	-9	-9	-9	-9
PC121	2	-9	-9	-9	-9	238	244	141	143	-9	-9	174	176	-9	-9
PC123	2	-9	-9	-9	-9	238	238	141	141	-9	-9	168	174	-9	-9
PC124	2	-9	-9	-9	-9	236	242	141	143	-9	-9	182	192	-9	-9
PC125	2	-9	-9	-9	-9	224	234	141	143	-9	-9	170	170	-9	-9
PC126	2	-9	-9	-9	-9	234	238	141	141	-9	-9	-9	-9	-9	-9
PC127	2	-9	-9	-9	-9	232	234	141	143	-9	-9	172	174	-9	-9
PC128	2	-9	-9	-9	-9	224	238	141	141	-9	-9	157	190	-9	-9
PC130	2	-9	-9	-9	-9	214	238	141	143	-9	-9	-9	-9	-9	-9
PC131	2	-9	-9	-9	-9	238	238	141	141	-9	-9	172	182	-9	-9
PC134	2	-9	-9	-9	-9	238	240	141	148	-9	-9	172	174	-9	-9
PC136	2	388	394	-9	-9	242	244	141	141	-9	-9	170	170	-9	-9
PC139	2	388	406	-9	-9	232	240	141	143	-9	-9	168	170	-9	-9
PC141	2	-9	-9	-9	-9	240	244	141	141	-9	-9	168	170	-9	-9
PC143	2	388	394	-9	-9	234	240	143	143	-9	-9	170	184	-9	-9
PC145	2	388	388	-9	-9	238	238	141	141	-9	-9	-9	-9	-9	-9
PC160	2	-9	-9	-9	-9	232	238	141	141	-9	-9	170	190	-9	-9
PC162	2	-9	-9	-9	-9	240	240	141	141	-9	-9	170	174	-9	-9
