		L18		Myrt3		P12-1		Pb7		Pb8		Pr1		Pb2		Pb4		Pb9		Po3		Po7		Po8	
WS1	2	165	175	175	175	296	299	159	159	276	282	395	395	296	296	237	246	338	350	147	152	243	246	239	248
WS5	1	163	164	177	185	302	302	153	153	267	282	382	395	299	300	237	241	336	342	161	168	243	243	233	242
WS6	1	157	163	178	185	293	305	190	190	267	288	382	394	286	296	215	242	326	328	160	168	243	246	236	242
WS7	1	157	164	177	185	284	305	145	167	267	282	382	395	286	308	232	241	326	340	158	164	243	246	233	242
WS8	2	166	168	175	175	291	291	140	144	280	288	378	407	302	318	224	250	334	342	145	157	246	246	233	239
WS9	2	164	186	175	175	270	270	140	142	278	280	382	382	288	288	274	310	334	340	168	174	243	243	239	242
WS10	1	165	180	177	177	284	308	150	153	265	278	382	395	288	302	215	242	330	338	160	166	243	243	236	242
WS11	1	165	178	177	185	284	302	153	167	265	286	382	394	288	296	215	241	332	336	160	166	246	246	236	242
WS12	1	161	180	177	185	293	308	150	153	265	282	382	395	292	299	245	278	340	342	160	170	243	246	230	242
WS13	2	167	176	175	175	270	270	140	140	276	276	-9	-9	288	306	223	250	338	354	141	157	240	246	242	257
WS14	1	159	182	177	185	305	305	153	153	267	288	394	394	299	318	217	242	338	342	160	168	246	246	230	233
WS15	1	164	165	177	185	284	302	150	153	267	282	394	394	296	299	237	241	334	338	158	164	243	243	233	242
WS16	1	174	181	175	175	287	305	172	174	266	288	382	395	296	296	242	280	312	336	156	158	246	246	236	242
WS17	1	163	178	177	185	284	302	153	153	265	282	382	395	302	312	215	237	310	336	160	164	246	246	230	233
WS18	2	164	177	175	175	270	293	142	142	280	284	382	395	300	308	217	224	338	347	166	174	243	258	242	242
WS19	2	164	164	175	175	270	291	140	140	282	282	382	382	304	310	271	302	338	354	147	176	246	252	242	248
WS20	2	168	180	175	175	270	270	140	142	276	292	382	382	300	312	236	237	334	344	152	178	240	243	233	242
WS21	1	165	180	175	177	284	284	153	153	265	276	395	395	299	312	215	238	326	334	160	170	246	246	230	233
WS22	2	164	168	175	175	270	300	140	140	284	294	378	382	296	320	224	224	330	340	149	158	243	252	233	239
WS23	1	161	186	177	185	293	308	153	153	265	276	382	395	299	310	215	245	336	344	160	166	243	243	230	236
WS24	2	168	190	175	183	291	305	140	144	280	282	382	382	296	299	223	272	340	343	141	164	243	243	239	242
WS25	1	176	186	177	185	284	284	153	153	267	284	382	395	293	293	241	263	312	338	158	168	243	246	233	242
WS27	2	165	175	175	175	270	275	140	140	280	282	382	395	288	304	223	232	334	336	141	141	243	246	-9	-9
WS28	2	164	177	-9	-9	270	305	142	164	267	288	382	382	-9	-9	295	295	334	352	150	161	243	243	233	241
WS29	1	150	152	175	177	302	308	153	153	267	284	382	394	296	308	215	267	310	340	160	166	243	246	233	242
WS30	1	161	183	175	177	284	308	153	159	265	282	395	395	299	299	215	270	328	344	160	166	243	246	233	242
WS31	2	155	155	175	175	281	305	140	145	276	284	382	407	304	308	233	237	334	336	141	156	240	246	233	248
WS32	2	166	182	175	175	270	305	140	144	282	284	377	382	306	306	237	244	338	344	149	154	246	252	242	257
WS33	1	161	184	175	177	284	308	145	153	267	282	395	395	292	299	215	252	336	344	158	170	243	246	236	242
WS34	2	172	176	173	175	288	294	140	142	284	284	382	389	299	318	223	298	340	342	160	176	243	243	242	242
WS35	2	164	190	175	175	270	294	140	142	280	292	382	401	300	324	237	304	346	369	145	164	240	252	236	242
WS36	2	164	166	175	175	285	294	140	142	263	276	382	389	304	306	237	273	344	352	145	145	246	246	242	249
WS37	2	170	170	175	175	288	294	140	145	267	276	382	401	314	318	275	293	338	340	154	161	246	246	233	249
WS38	2	167	186	175	177	270	294	140	140	280	280	382	390	288	296	277	306	332	344	141	145	243	246	249	249
WS39	1	163	178	177	185	284	284	159	169	265	276	394	394	308	315	215	242	338	346	160	170	243	246	236	242
WS40	2	179	181	175	175	270	294	140	144	263	290	382	382	288	310	267	276	340	344	161	166	240	252	242	257
WS41	1	159	176	177	185	284	302	153	172	265	282	382	394	292	302	246	250	328	338	160	170	243	252	236	242
WS42	1	165	186	175	177	287	308	153	153	265	288	382	394	300	300	215	241	314	334	160	166	246	249	233	233
WS43	2	163	169	175	177	270	297	140	144	284	286	382	395	296	312	242	259	348	358	150	168	246	252	239	239
WS44	2	165	168	175	175	270	297	142	142	267	276	382	382	308	318	220	272	338	340	145	166	243	255	239	248
WS45	2	168	178	175	175	270	302	140	140	276	282	377	395	288	308	250	298	338	342	141	145	240	246	248	248
WS46	1	165	184	177	177	299	302	153	153	267	284	382	395	286	302	215	241	342	344	154	164	243	243	236	242
WS47	1	165	176	177	185	293	308	150	153	265	284	382	395	294	306	228	263	312	328	154	168	243	243	233	242
WS48	1	159	176	177	185	275	284	153	167	267	282	382	395	299	302	215	241	312	338	161	164	246	246	233	242
WS49	2	155	182	175	175	270	270	140	144	276	284	382	395	296	308	237	281	340	366	152	164	243	246	239	242
WS50	2	165	178	175	175	270	294	140	140	263	278	382	382	296	316	248	304	334	344	141	152	243	246	249	249
WS51	2	157	157	175	183	-9	-9	140	140	264	276	382	382	304	314	237	300	340	341	145	156	240	246	242	257
WS52	2	157	163	175	175	285	285	140	140	278	284	382	382	314	320	266	268	341	345	141	147	246	246	237	242
WS53	1	157	163	175	177	302	302	153	167	267	286	395	395	299	300	215	235	327	351	158	164	243	243	230	242
WS54	2	157	163	175	175	270	270	140	140	280	288	382	382	306	320	248	280	340	340	158	170	246	246	239	242
WS55	2	157	163	175	175	-9	-9	140	140	290	296	389	390	296	302	259	277	339	347	145	176	246	246	242	257
WS56	2	157	163	175	183	288	294	140	144	278	278	382	382	299	304	237	304	339	355	145	166	255	258	233	239
WS57	2	157	157	175	183	270	294	140	144	276	288	395	401	288	294	248	278	336	340	145	150	243	243	231	242
WS58	2	157	163	175	183	270	270	142	142	276	288	382	382	288	288	236	298	338	341	145	158	246	252	242	242
WS59	1	157	163	177	185	-9	-9	150	153	265	284	382	395	302	314	216	266	314	338	161	166	246	249	237	242
WS60	1	157	163	177	185	-9	-9	153	153	265	284	382	395	299	300	241	277	316	336	154	164	243	243	234	242
WS61	1	157	163	177	185	-9	-9	153	153	265	282	382	394	299	300	218	241	312	330	160	168	246	246	233	242
WS62	2	163	163	175	175	270	285	140	142	282	286	382	382	310	312	277	280	336	345	164	166	243	258	242	257
WS63	1	157	163	177	185	284	284	153	161	267	276	382	395	299	316	216	243	338	345	160	164	243	246	236	242
WS64	2	157	163	175	175	297	300	140	142	276	282	390	396	288	312	241	271	340	343	147	172	243	246	242	242
WS65	2	157	163	175	183	270	270	140	144	284	284	378	382	304	314	241	259	343	350	145	145	243	246	230	240
WS66	2	157	163	175	177	270	294	140	142	276	278	382	382	308	308	241	304	345	351	160	172	243	243	242	257
WS67	2	157	157	175	175	270	294	140	144	284	294	382	395	304	316	248	248	337	347	158	176	246	252	234	242
WS68	2	163	163	175	183	270	270	140	144	264	276	396	408	288	296	215	215	340	341	143	152	243	243	242	242
WS69	2	157	157	175	183	270	288	140	140	276	292	401	408	308	308	235	237	340	341	145	168	243	243	240	242
WS70	2	157	163	175	175	294	305	140	140	276	288	382	382	296	304	254	277	332	341	145	168	243	246	242	257
WS71	2	157	163	175	175	270	294	140	145	280	290	382	382	296	316	237	284	341	358	145	152	243	243	236	257
WS72	2	157	163	175	183	270	270	142	144	288	290	382	382	302	302	234	248	336	352	164	166	243	246	234	242
WS73	2	157	163	175	175	270	270	140	142	282	284	382	408	299	308	225	300	340	341	145	168	243	246	234	249
WS74	2	157	163	173	175	270	270	140	142	276	280	372	372	318	318	-9	-9	338	340	145	164	240	243	240	242
WS75	2	157	157	175	175	294	294	140	144	280	282	382	389	310	314	220	235	336	343	152	166	243	258	231	234
WS76	2	157	157	175	175	270	285	142	145	276	278	382	401	310	320	225	237	331	341	168	170	246	255	242	254
WS77	2	157	157	175	175	300	300	140	145	280	288	382	382	308	310	224	290	339	341	147	178	243	246	233	249
WS78	2	157	157	175	175	270	300	140	140	276	278	382	390	302	304	271	302	345	349	150	181	243	246	242	249
WS79	2	163	163	175	183	270	300	140	145	278	278	396	414	299	312	223	237	340	347	164	176	246	252	242	249
WS80	2	163	163	175	175	300	300	140	144	278	294	382	396	299	318	236	250	340	341	158	164	240	246	249	257
WS81	2	157	157	175	183	282	285	140	140	280	282	382	390	296	308	238	289	342	346	180	180	243	255	242	255
WS82	2	157	157	175	175	270	270	140	140	280	286	382	390	302	310	237	284	339	338	145	164	246	252	242	249
WS83	2	157	163	175	175	282	288	140	140	280	290	382	408	296	296	237	268	340	341	143	166	243	246	242	249
WS84	2	157	163	175	175	285	288	142	145	276	292	382	390	304	312	268	277	343	348	158	158	246	246	242	242
WS85	2	157	157	175	175	285	294	140	142	282	284	378	382	304	304	266	277	340	343	164	178	246	255	234	242
WS86	2	157	163	175	175	270	291	140	142	267	286	382	401	299	306	259	262	332	342	147	161	243	243	240	242
WS87	1	157	163	175	177	302	305	157	165	267	276	382	395	294	296	219	275	341	341	154	170	243	243	236	242
WS88	2	157	163	175	175	285	294	140	144	280	288	382	382	308	308	234	237	347	353	141	166	243	243	234	249
WS89	2	157	163	175	175	270	300	140	142	278	294	378	382	304	312	241	267	340	341	141	160	240	255	242	242
WS90	2	157	157	175	183	270	294	140	140	282	292	382	390	299	302	237	237	338	341	145	145	243	258	240	242
WS91	2	163	163	175	175	270	282	140	142	280	282	382	382	288	302	237	291	339	341	168	176	243	252	231	242
WS92	2	157	163	175	175	270	270	140	144	282	286	382	382	302	316	243	297	341	347	160	164	243	243	242	242
WS93	2	163	163	175	175	270	270	140	142	276	282	382	382	288	288	248	267	340	351	141	145	243	246	249	249
WS94	2	163	163	175	175	270	288	140	140	280	290	382	382	299	312	241	243	340	345	145	176	246	246	242	249
WS95	2	157	163	175	183	270	294	140	140	278	290	378	382	306	308	230	230	338	350	141	141	246	255	242	242
WS96	2	157	157	175	175	294	303	140	142	284	290	382	390	296	314	237	262	338	356	166	174	243	255	231	249
