Label,Colony,Inferred,Pop,Prop
1,WS36,2,1,0.003
2,WS51,2,1,0.003
3,WS58,2,1,0.003
4,WS69,2,1,0.003
5,WS78,2,1,0.003
6,WS80,2,1,0.003
7,WS82,2,1,0.003
8,WS90,2,1,0.003
9,WS93,2,1,0.003
10,WS96,2,1,0.003
11,WS19,2,1,0.004
12,WS52,2,1,0.004
13,WS55,2,1,0.004
14,WS56,2,1,0.004
15,WS73,2,1,0.004
16,WS74,2,1,0.004
17,WS75,2,1,0.004
18,WS83,2,1,0.004
19,WS85,2,1,0.004
20,WS88,2,1,0.004
21,WS91,2,1,0.004
22,WS94,2,1,0.004
23,WS95,2,1,0.004
24,WS13,2,1,0.005
25,WS54,2,1,0.005
26,WS62,2,1,0.005
27,WS64,2,1,0.005
28,WS67,2,1,0.005
29,WS70,2,1,0.005
30,WS71,2,1,0.005
31,WS77,2,1,0.005
32,WS79,2,1,0.005
33,WS84,2,1,0.005
34,WS89,2,1,0.005
35,WS9,2,1,0.006
36,WS24,2,1,0.006
37,WS40,2,1,0.006
38,WS50,2,1,0.006
39,WS76,2,1,0.006
40,WS81,2,1,0.006
41,WS8,2,1,0.007
42,WS49,2,1,0.007
43,WS72,2,1,0.007
44,WS22,2,1,0.008
45,WS65,2,1,0.008
46,WS20,2,1,0.009
47,WS44,2,1,0.009
48,WS35,2,1,0.01
49,WS57,2,1,0.011
50,WS92,2,1,0.011
51,WS31,2,1,0.014
52,WS38,2,1,0.014
53,WS32,2,1,0.016
54,WS86,2,1,0.016
55,WS68,2,1,0.025
56,WS34,2,1,0.027
57,WS45,2,1,0.027
58,WS66,2,1,0.03
59,WS27,2,1,0.032
60,WS18,2,1,0.053
61,WS37,2,1,0.066
62,WS43,2,1,0.09
63,WS28,2,1,0.394
64,WS1,2,1,0.641
65,WS87,1,1,0.927
66,WS16,1,1,0.978
67,WS7,1,1,0.989
68,WS59,1,1,0.989
69,WS63,1,1,0.989
70,WS29,1,1,0.99
71,WS60,1,1,0.99
72,WS53,1,1,0.993
73,WS6,1,1,0.995
74,WS10,1,1,0.995
75,WS39,1,1,0.995
76,WS41,1,1,0.995
77,WS5,1,1,0.996
78,WS11,1,1,0.996
79,WS12,1,1,0.996
80,WS15,1,1,0.996
81,WS17,1,1,0.996
82,WS21,1,1,0.996
83,WS30,1,1,0.996
84,WS33,1,1,0.996
85,WS42,1,1,0.996
86,WS47,1,1,0.996
87,WS61,1,1,0.996
88,WS14,1,1,0.997
89,WS23,1,1,0.997
90,WS25,1,1,0.997
91,WS46,1,1,0.997
92,WS48,1,1,0.997
1,WS36,2,2,0.997
2,WS51,2,2,0.997
3,WS58,2,2,0.997
4,WS69,2,2,0.997
5,WS78,2,2,0.997
6,WS80,2,2,0.997
7,WS82,2,2,0.997
8,WS90,2,2,0.997
9,WS93,2,2,0.997
10,WS96,2,2,0.997
11,WS19,2,2,0.996
12,WS52,2,2,0.996
13,WS55,2,2,0.996
14,WS56,2,2,0.996
15,WS73,2,2,0.996
16,WS74,2,2,0.996
17,WS75,2,2,0.996
18,WS83,2,2,0.996
19,WS85,2,2,0.996
20,WS88,2,2,0.996
21,WS91,2,2,0.996
22,WS94,2,2,0.996
23,WS95,2,2,0.996
24,WS13,2,2,0.995
25,WS54,2,2,0.995
26,WS62,2,2,0.995
27,WS64,2,2,0.995
28,WS67,2,2,0.995
29,WS70,2,2,0.995
30,WS71,2,2,0.995
31,WS77,2,2,0.995
32,WS79,2,2,0.995
33,WS84,2,2,0.995
34,WS89,2,2,0.995
35,WS9,2,2,0.994
36,WS24,2,2,0.994
37,WS40,2,2,0.994
38,WS50,2,2,0.994
39,WS76,2,2,0.994
40,WS81,2,2,0.994
41,WS8,2,2,0.993
42,WS49,2,2,0.993
43,WS72,2,2,0.993
44,WS22,2,2,0.992
45,WS65,2,2,0.992
46,WS20,2,2,0.991
47,WS44,2,2,0.991
48,WS35,2,2,0.99
49,WS57,2,2,0.989
50,WS92,2,2,0.989
51,WS31,2,2,0.986
52,WS38,2,2,0.986
53,WS32,2,2,0.984
54,WS86,2,2,0.984
55,WS68,2,2,0.975
56,WS34,2,2,0.973
57,WS45,2,2,0.973
58,WS66,2,2,0.97
59,WS27,2,2,0.968
60,WS18,2,2,0.947
61,WS37,2,2,0.934
62,WS43,2,2,0.91
63,WS28,2,2,0.606
64,WS1,2,2,0.359
65,WS87,1,2,0.073
66,WS16,1,2,0.022
67,WS7,1,2,0.011
68,WS59,1,2,0.011
69,WS63,1,2,0.011
70,WS29,1,2,0.01
71,WS60,1,2,0.01
72,WS53,1,2,0.007
73,WS6,1,2,0.005
74,WS10,1,2,0.005
75,WS39,1,2,0.005
76,WS41,1,2,0.005
77,WS5,1,2,0.004
78,WS11,1,2,0.004
79,WS12,1,2,0.004
80,WS15,1,2,0.004
81,WS17,1,2,0.004
82,WS21,1,2,0.004
83,WS30,1,2,0.004
84,WS33,1,2,0.004
85,WS42,1,2,0.004
86,WS47,1,2,0.004
87,WS61,1,2,0.004
88,WS14,1,2,0.003
89,WS23,1,2,0.003
90,WS25,1,2,0.003
91,WS46,1,2,0.003
92,WS48,1,2,0.003
